_pid,partName,projectURL,_identifiers-1,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-2:note_type,note-2:note_value,note-3:note_type,note-1:note_type,note-1:note_value,form-2:form_term.uri,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,location-1:location_term.uri,genre-1:genre_term.authority,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,date_created-1:date_created_start_value,collection-1:collection_term.uri,collection-1:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,object_in_context_url-1:object_in_context_url_value,place_of_origin-1:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,date_created-1:date_created_type,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority
 , , , , ,1968: The Global Revolutions,"Text of Speech by Paul Potter, President of Students for a Democratic Society. March on Washington, April 17, 1965. Page 1", , , ,11589,filename,https://exhibitions-dev.library.columbia.edu/1968_036_01.jpg,original_format, ,Original filename: 1968_036_01.tif|Aeon Slip No.: 133543, , ,transcripts,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Potter, Paul", , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/1965_demonstration,, , , , ,Students for a Democratic Society (U.S.), , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,SDS Press Release Jan. 2 1965, , , ,11588,filename,https://exhibitions-dev.library.columbia.edu/1968_035_01.jpg,original_format, ,Original filename: 1968_035_01.tif|Aeon Slip No.: 133539, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1/2/1965,In Copyright, , , ,Todd Gitlin Papers, ,Students for a Democratic Society (U.S.), , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/1965_demonstration,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Sign Up to March on Washington. Verso, , , ,11587,filename,https://exhibitions-dev.library.columbia.edu/1968_034_02.jpg,original_format, ,Original filename: 1968_034_02.tif|Aeon Slip No.: 133541, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,Detroit Committee to End the War in Vietnam, , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/1965_demonstration,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Sign Up to March on Washington. Recto, , , ,11586,filename,https://exhibitions-dev.library.columbia.edu/1968_034_01.jpg,original_format, ,Original filename: 1968_034_01.tif|Aeon Slip No.: 133541, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,Detroit Committee to End the War in Vietnam, , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/1965_demonstration,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Can You Remain Silent?. Verso, , , ,11585,filename,https://exhibitions-dev.library.columbia.edu/1968_033_02.jpg,original_format, ,Original filename: 1968_033_02.tif|Aeon Slip No.: 133542, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,Wayne Committee to End the War in Vietnam, , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Can You Remain Silent?. Recto, , , ,11584,filename,https://exhibitions-dev.library.columbia.edu/1968_033_01.jpg,original_format, ,Original filename: 1968_033_01.tif|Aeon Slip No.: 133542, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,Wayne Committee to End the War in Vietnam, , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/1965_demonstration,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"The Student Voice, May 26, 1964. Cover", , , ,11583,filename,https://exhibitions-dev.library.columbia.edu/1968_032_01.jpg,original_format, ,Original filename: 1968_032_01.tif|Aeon Slip No.: 133423, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"May 26, 1964",In Copyright, , , ,"Group Research, Inc. Records", ,"Student Voice, Inc.", , , , , ,holdings, ,"Box 306, Folder SNCC", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/sncc,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"The Student Voice, August 12 1964. Cover", , , ,11582,filename,https://exhibitions-dev.library.columbia.edu/1968_031_01.jpg,original_format, ,Original filename: 1968_031_01.tif|Aeon Slip No.: 133424, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,August 12 1964,In Copyright, , , ,"Group Research, Inc. Records", ,"Student Voice, Inc.", , , , , ,holdings, ,"Box 306, Folder SNCC", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/sncc,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"The Student Voice, June 2, 1964. Cover", , , ,11581,filename,https://exhibitions-dev.library.columbia.edu/1968_030_01.jpg,original_format, ,Original filename: 1968_030_01.tif|Aeon Slip No.: 133425, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"June 2, 1964",In Copyright, , , ,"Group Research, Inc. Records", ,"Student Voice, Inc.", , , , , ,holdings, ,"Box 306, Folder SNCC", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/sncc,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"New Left Notes, Sept. 11, 1967, Cover", , , ,11580,filename,https://exhibitions-dev.library.columbia.edu/1968_029_01.jpg,original_format, ,Original filename: 1968_029_01.tif|Aeon Slip No.: 133545, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"Sept. 11, 1967",In Copyright, , , ,Records of the Non-Sectarian Anti-Nazi League to Champion Human Rights, ,Students for a Democratic Society (U.S.), , , , , ,holdings, ,"Box 710, Folder SDS", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"What is the S.D.S.?, p. 5", , , ,11579,filename,https://exhibitions-dev.library.columbia.edu/1968_028_05.jpg,original_format, ,Original filename: 1968_028_05.tif|Aeon Slip No.: 131586, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1962,In Copyright, , ,,, ,Students for a Democratic Society (U.S.), , , , , ,,,,,, ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
