identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageofCataloging,shelfLocator,note_filename,form,keyDate_start,place,relatedItem_Collection,dateCreated,title,language,dateCreated 1,name_primary,publisher,identifier_clio,typeOfResource,abstract,note_filename 2,relatedItem_Project,typeOfResource 2,location_url_ObjectInContext,note_ownership,accessCondition
6205,1,0,exact,rd,nnc-rb,eng,B342.731 Un32,"original filename: 110119014.tif
",books,1785 ,Boston,,,"Constitutions of the several independent states of America : the Declaration of Independence, the Articles of Confederation between the said states, the treaties between His Most Christian Majesty and the United States of America, and the treaties between their High Mightinesses the States General of the United Netherlands and the United States of America. Page 3",eng,1785,,Norman and Bowen,CLIO id: 5530045,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119014.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6204,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B342.731 Un32,"original filename: 110119013.tif
",books,1785 ,Boston,,,"Constitutions of the several independent states of America : the Declaration of Independence, the Articles of Confederation between the said states, the treaties between His Most Christian Majesty and the United States of America, and the treaties between their High Mightinesses the States General of the United Netherlands and the United States of America. Title page",eng,1785,,Norman and Bowen,CLIO id: 5530045,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119013.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/amrev,,
6203,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1775 H184 ,original filename: 110119012.tif,books,1775 ,New York,,,Farmer Refuted. Page 78,eng,1775,"Hamilton, Alexander, 1757-1804",James Rivington,CLIO id:  5458358,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119012.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6202,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1775 H184 ,"original filename: 110119011.tif
",books,1775 ,New York,,,Farmer Refuted Pages iv and B,eng,1775,"Hamilton, Alexander",James Rivington,CLIO id: 5458358,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119011.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6201,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1775 H184 ,"original filename: 110119010.tif
",books,1775 ,New York,,,Farmer Refuted. Advertisement,eng,1775,"Hamilton, Alexander",James Rivington,CLIO id: 5458358,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119010.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6200,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1775 H184 ,"original filename: 110119009.tif
",books,1775 ,New York,,,Farmer Refuted. Title page,eng,1775,"Hamilton, Alexander",James Rivington,CLIO: 5458358,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119009.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/amrev,,
6199,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Spinoza 193Sp4 FM1541,"original filename: 110119008.tif
",books,1628 1660,Geneva,,,Tvtte le opere di Nicolo Machiavelli,eng,1550,"Machiavelli, Niccolò, 1469-1527",Pietro Alberto,CLIO id: 6180564,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119008.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/machiavelli/tutteleopera,,
6198,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1762Ho R76,"original filename: 110119007.tif
",books,1762 ,Amsterdam,,,Du contract social. Beginning of text,eng,1762,"Rousseau, Jean-Jacques, 1712-1778",Chez Marc Michel Rey,CLIO id: 5449649,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119007.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6197,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1762Ho R76,"original filename: 110119006.tif
",books,1762 ,Amsterdam,,,Du contract social. Title page,eng,1762,"Rousseau, Jean-Jacques, 1712-1778",Chez Marc Michel Rey,CLIO id: 5449649,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119006.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/frenchrev,,
6196,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B320.1 H651,"original filename: 110119005.tif
",books,1651 ,London,,,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. Title page",eng,1651,"Hobbes, Thomas, 1588-1679",[Andrew Crooke],CLIO id: 3242930,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119005.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,,
