collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_sublocation,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,extent-1:extent_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,_project.string_key
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P11.07,Box: 20,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Italy,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",ownership,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Marionette Of, Figure In White With Black Mask",dramaticmuseum_mfw,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1560,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,,,,,,,,rbml_realia_p11.07,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marionette Of, Figure In White With Black Mask",dramaticmuseum_mfw_000,dramaticmuseum_mfw,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P11.06,Box: 20,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Italy,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",ownership,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Marionette Of Figure In White With Black Mask,dramaticmuseum_mfx,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1559,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,,,,,,,,rbml_realia_p11.06,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marionette Of Figure In White With Black Mask,dramaticmuseum_mfx_000,dramaticmuseum_mfx,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.03,Box: 12,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet In White Vest With Black Bird Print,dramaticmuseum_mha,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1499,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.03,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet In White Vest With Black Bird Print,dramaticmuseum_mha_000,dramaticmuseum_mha,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.08,Box: 11,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Bicorne Hat,dramaticmuseum_mhb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1426,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery8,,,,,,,,rbml_realia_p09.08,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Bicorne Hat,dramaticmuseum_mhb_000,dramaticmuseum_mhb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P24.13E,Box: 35,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"2""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,China,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Man's Head From A Chinese Figurine,dramaticmuseum_mhc,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1376,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_china/gallery4,,,,,,,,rbml_realia_p24.13e,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head,dramaticmuseum_mhc_001,dramaticmuseum_mhc,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.01,Box: 11,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Green Cap,dramaticmuseum_mhd,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1423,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery8,,,,,,,,rbml_realia_p09.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Green Cap,dramaticmuseum_mhd_000,dramaticmuseum_mhd,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.02,Box: 9,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"14""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Green Hat,dramaticmuseum_mhe,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1445,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery7,,,,,,,,rbml_realia_p08.02,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Green Hat,dramaticmuseum_mhe_000,dramaticmuseum_mhe,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.10,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Missing Tooth,dramaticmuseum_mhf,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1451,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.10,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Missing Tooth,dramaticmuseum_mhf_000,dramaticmuseum_mhf,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.05,Box: 9,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"15""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Mustache And Bicorne Hat,dramaticmuseum_mhg,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1448,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.05,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Mustache And Bicorne Hat,dramaticmuseum_mhg_000,dramaticmuseum_mhg,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.13,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Purple Clothes,dramaticmuseum_mhh,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1454,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.13,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Purple Clothes,dramaticmuseum_mhh_000,dramaticmuseum_mhh,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.11,Box: 12,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"13""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Red And Blue Hat,dramaticmuseum_mhi,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1490,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,,,,,,,,rbml_realia_p09.11,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male Hand Puppet With Red And Blue Hat,dramaticmuseum_mhi_000,dramaticmuseum_mhi,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.18,Box: 9,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"14""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Male Hand Puppet With Red And Blue Hat, Protruding Stomach",dramaticmuseum_mhj,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1456,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p09.18,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male Hand Puppet With Red And Blue Hat, Protruding Stomach",dramaticmuseum_mhj_000,dramaticmuseum_mhj,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.12,Box: 13,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Male Hand Puppet With White And Gold Vest, Blue Coat",dramaticmuseum_mhk,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1492,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,,,,,,,,rbml_realia_p09.12,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male Hand Puppet With White And Gold Vest, Blue Coat",dramaticmuseum_mhk_000,dramaticmuseum_mhk,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Head only,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.10,Box: 13,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Male Hand Puppet,dramaticmuseum_mhl,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1489,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,,,,,,,,rbml_realia_p09.10,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head,dramaticmuseum_mhl_001,dramaticmuseum_mhl,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,"Hidalgo, Luis",personal,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Costume for American production of Laurence Houseman's ""Victoria Regina"" 1936",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P79,Box: 54,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"[16""]",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,unknown,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Gift of Helen Hayes,ownership,Figurines,fast,http://id.worldcat.org/fast/924112,"Models (Clay, plaster, etc.)",fast,http://id.worldcat.org/fast/1024381,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,"Hayes, Helen, 1900-1993",personal,naf,http://id.loc.gov/authorities/names/n50025141,"Victoria, Queen of Great Britain, 1819-1901",personal,naf,http://id.loc.gov/authorities/names/n79017983,,,,,Model Of Helen Hayes As Queen Victoria,dramaticmuseum_mhq,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1746,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_unknown/gallery1,,,,,,,,rbml_realia_p79,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model Of Helen Hayes As Queen Victoria,dramaticmuseum_mhq_000,dramaticmuseum_mhq,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P10.18,Box: 17,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"14""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,"wood, metal",original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift of Milton Smith and John Mulholland (given by Brander Matthews, who purchased the set from De Vere in Paris, 1920s)",ownership,Shadow puppets,fast,http://id.worldcat.org/fast/1115043,,,,Whips,fast,http://id.worldcat.org/fast/1174561,,,,,,,,,,,,,,,,,,,Man With Hat And Whip Shadow Puppet,dramaticmuseum_mhw,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1474,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery4,,,,,,,,rbml_realia_p10.18,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man With Hat And Whip Shadow Puppet,dramaticmuseum_mhw_000,dramaticmuseum_mhw,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1800,1899,approximate,1800-1899,Clay mold for papier mache carnival mask. Carlebach dates in 19th century but a later date is more appropriate,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M24.20,Box: 146,,,,,,,,reformatted digital,"7.5"" x 6.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,clay,original_format,Mexico,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift, George P. Edgar through Carlebach, 1960",ownership,Carnival masks,fast,http://id.worldcat.org/fast/847674,"Models (Clay, plaster, etc.)",fast,http://id.worldcat.org/fast/1024381,Carnival,fast,http://id.worldcat.org/fast/847651,,,,,,,,,,,,,,,,,,,Carnival Mask Mold,dramaticmuseum_mma,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2534,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_mexico/gallery3,,,,,,,,rbml_realia_m24.20,filename,rbml_realia_m24.20.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnival Mask Mold,dramaticmuseum_mma_000,dramaticmuseum_mma,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1800,1899,approximate,1800-1899,Clay mold for papier mache carnival mask. Carlebach dates in 19th century but a later date is more appropriate,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M24.19,Box: 144,,,,,,,,reformatted digital,"8"" x 7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,clay,original_format,Mexico,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift, George P. Edgar through Carlebach, 1960",ownership,Carnival masks,fast,http://id.worldcat.org/fast/847674,"Models (Clay, plaster, etc.)",fast,http://id.worldcat.org/fast/1024381,Carnival,fast,http://id.worldcat.org/fast/847651,,,,,,,,,,,,,,,,,,,Carnival Mask Mold,dramaticmuseum_mmb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2532,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_mexico/gallery3,,,,,,,,rbml_realia_m24.19,filename,rbml_realia_m24.19.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnival Mask Mold,dramaticmuseum_mmb_000,dramaticmuseum_mmb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1800,1899,approximate,1800-1899,Clay mold for papier mache carnival mask. Carlebach dates in 19th century but a later date is more appropriate,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M24.18,Box: 143,,,,,,,,reformatted digital,"7.5"" x 7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,clay,original_format,Mexico,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift, George P. Edgar through Carlebach, 1960",ownership,Carnival masks,fast,http://id.worldcat.org/fast/847674,"Models (Clay, plaster, etc.)",fast,http://id.worldcat.org/fast/1024381,Carnival,fast,http://id.worldcat.org/fast/847651,,,,,,,,,,,,,,,,,,,Carnival Mask Mold,dramaticmuseum_mmc,,item,dramatic_museum
