collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_sublocation,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,extent-1:extent_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,_project.string_key
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Made by Russian emigres living in Iran during WWII; purchased by Nathan Halper, who was stationed in Iran during WWII.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P89.02,Box: 34,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"9""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,cloth,original_format,Russia,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift of Marjorie Windust Halper, 1989.",ownership,Dolls,fast,http://id.worldcat.org/fast/896460,,,,Beggars,fast,http://id.worldcat.org/fast/829865,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bdb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2572,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_russia/gallery,,,,,,,,rbml_realia_p89.02.jpeg,filename,rbml_realia_p89.02.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bdb_000,dramaticmuseum_bdb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Made by Russian emigres living in Iran during WWII; purchased by Nathan Halper, who was stationed in Iran during WWII.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P89.01,Box: 34,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"9""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,cloth,original_format,Russia,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift of Marjorie Windust Halper, 1989.",ownership,Dolls,fast,http://id.worldcat.org/fast/896460,,,,Beggars,fast,http://id.worldcat.org/fast/829865,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bdc,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2571,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_russia/gallery,,,,,,,,russia01.jpeg,filename,rbml_realia_p89.01.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bdc_000,dramaticmuseum_bdc,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.08,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Black Devil Hand Puppet,dramaticmuseum_bdp,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1449,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.08,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Devil Hand Puppet,dramaticmuseum_bdp_000,dramaticmuseum_bdp,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.14,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Bearded Male Hand Puppet With Green Scarf,dramaticmuseum_bgs,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1455,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.14,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bearded Male Hand Puppet With Green Scarf,dramaticmuseum_bgs_000,dramaticmuseum_bgs,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.16,Box: 14,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Bald Hand Puppet In Blue Flower Print Robe,dramaticmuseum_bhp,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1496,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.16,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bald Hand Puppet In Blue Flower Print Robe,dramaticmuseum_bhp_000,dramaticmuseum_bhp,asset,dramatic_museum
