identifier_omeka,physicalLocation,form,keyDate_start,digitalOrigin,languageOfCataloging,relatedItem_collection,shelfLocator,note,place,dateQualifier,title,dateCreated,language,name_primary,subject_topic,relatedItem_note,abstract,publisher,accessCondition,form 2,note_filename,relatedItem_Project,typeOfResource,relatedItem_title
8977,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-26,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [5]",Nov. 26th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520005.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8976,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-24,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [3]",Nov. 24th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520004.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8975,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-24,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [4]",Nov. 24th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520003.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8974,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-12,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [2]",Nov. 12th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520002.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8973,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-10,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [1]",Nov. 10th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520001.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8970,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  back cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148126.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8969,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  inside of back cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148125.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8968,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Page is upside down in record book,,,"Record of Fugitives. Book 2,  page [70]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148124.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8967,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [69]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148123.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8966,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [68]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148122.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8965,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [67]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148121.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
