use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,form-2:form_term.uri,form-2:form_term.value,note-3:note_type,note-1:note_type,note-1:note_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,clio_identifier-1:clio_identifier_value,collection-1:collection_term.uri,collection-1:collection_term.value,collection-2:collection_term.uri,collection-2:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-7:note_type,note-7:note_value
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0001.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,A Medieval Pageant of 13th C. Culture, , , ,12087, ,still image,fast, , ,1914, ,posters,original_format, ,original filename: RBML_Core_0001, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,Box 13, , ,12905992, ,Flat Files Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4649_ButlerWithJPMorganEtc.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"The ""Big Four""", , , ,12088, ,still image,fast, , ,1919, ,photographs,original_format, ,original filename: 4649_ButlerWithJPMorganEtc, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,Box 17, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0002.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"""Columbia At War"" issue of Columbia Alumni News. cover", , , ,12089, ,still image,fast, , ,"October 4, 1918", ,periodicals,original_format, ,original filename: RBML_Core_0002, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 1, folder 6", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0003.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,US School of Military Cinematography booklet. cover, , , ,12090, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0003, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 201, folder 6", , ,4080179, ,Historical Photograph Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0004.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,War Issues Schedule Table, , , ,12091, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0004, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 4, folder 5", , ,12905992, ,Flat Files Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0005.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Frederick J. E. Woodbridge, , , ,12092, ,still image,fast, , ,1902, ,photographs,original_format, ,original filename: RBML_Core_0005, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,Box 127, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,, , , , ,"Woodbridge, Frederick James Eugene, 1867-1940", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0006.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Outline of the Course on Issues of the War for the Student Army Training Corps, Part I: Historical and Economic Causes of War, First Installment. cover", , , ,12093, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0006, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 7, folder 9", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,, , , , ,"World War, 1914-1918--Causes", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0007.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Outline of the Course on Issues of the War for Student Army Training Corps, Part I: Historical and Economic Causes of War, Second Installment. pages 14 and 15", , , ,12094, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0007, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 7, folder 9", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,, , , , ,"World War, 1914-1918--Causes", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4651_ServiceFlag.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Service Flag, , , ,12095, ,still image,fast, , ,circa 1918, ,photographs,original_format, ,original filename: 4651_ServiceFlag, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 202, folder 13", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4650_SoldiersCalesthenics.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Soldiers Training on Columbia's Campus, , , ,12096, ,still image,fast, , ,circa 1918, ,photographs,original_format, ,original filename: 4650_SoldiersCalesthenics, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 201, folder 8", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0008.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,John Dewey, , , ,12097, ,still image,fast, , ,circa 1941, ,photographs,original_format, ,original filename: RBML_Core_0008, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/people, , ,"University Archives, Columbia University",local,holdings, ,Box 30, , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,inferred, , , , ,"Dewey, John, 1859-1952", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0009.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,John Jacob Coss, , , ,12098, ,still image,fast, , ,circa 1920s, ,photographs,original_format, ,original filename: RBML_Core_0009, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/people, , ,"University Archives, Columbia University",local,holdings, ,Box 26, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,inferred, , , , ,"Coss, John J. (John Jacob), 1884-1940", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0010.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,John Erskine at his Desk, , , ,12099, ,still image,fast, , ,1920s, ,photographs,original_format, ,original filename: RBML_Core_0010, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/people, , ,"University Archives, Columbia University",local,holdings, ,Box 38, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0011.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Introduction to Contemporary Civilization: A Syllabus, Part I (First Edition). cover", , , ,12100, ,still image,fast, , ,1919, ,books,original_format, ,original filename: RBML_Core_0011, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C763, , ,,,, ,CU copyright,,,,,,,,, , , , ,"Civilization--History--Outlines, syllabi, etc.", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0012.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Introduction to Contemporary Civilization (Third Edition). Inroductory Note, , , ,12101, ,still image,fast, , ,1921, ,books,original_format, ,original filename: RBML_Core_0012, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C7632, , ,,,, ,CU copyright,,,,,,,,, , , , ,"Civilization--History--Outlines, syllabi, etc.", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0013.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Introduction to Contemporary Civilization (Third Edition). Table of Contents page 1, , , ,12102, ,still image,fast, , ,1921, ,books,original_format, ,original filename: RBML_Core_0013, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C7632, , ,,,, ,CU copyright,,,,,,,,, , , , ,"Civilization--History--Outlines, syllabi, etc.", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0014.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Introduction to Contemporary Civilization (Third Edition). Table of Contents page 2, , , ,12103, ,still image,fast, , ,1921, ,books,original_format, ,original filename: RBML_Core_0014, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C7632, , ,,,, ,CU copyright,,,,,,,,, , , , ,"Civilization--History--Outlines, syllabi, etc.", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0015.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Introduction to Contemporary Civilization (Third Edition). Table of Contents page 3, , , ,12104, ,still image,fast, , ,1921, ,books,original_format, ,original filename: RBML_Core_0015, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C7632, , ,,,, ,CU copyright,,,,,,,,, , , , ,"Civilization--History--Outlines, syllabi, etc.", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0016.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Outline of Readings in Important Books: Prepared for the General Honors Course in Columbia University. title page, , , ,12105, ,still image,fast, , ,1924, ,books,original_format, ,original filename: RBML_Core_0016, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"University Archives, Columbia University",local,holdings, ,CN C7234, , ,,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0017.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Letter from Frederick Paul Keppel to John Coss. page 1, , , ,12106, ,still image,fast, , ,"April 17, 1919", ,correspondence,original_format, ,original filename: RBML_Core_0017, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 2, , ,4079677, ,John J.Coss papers,,, ,"Keppel, Frederick P. (Frederick Paul), 1875-1943|Coss, John J. (John Jacob), 1884-1940", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/1901650003.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Letter from Justice Louis D. Brandeis to Frederick Paul Keppel, , , ,12107, ,still image,fast, , ,"April 17, 1919", ,correspondence,original_format, ,original filename: 1901650003, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 2, , ,4079677, ,John J.Coss papers,,, ,"Brandeis, Louis Dembitz, 1856-1941|Keppel, Frederick P. (Frederick Paul), 1875-1943", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0018.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,The Making of the Modern Mind. cover, , , ,12108, ,still image,fast, , ,1926, ,books,original_format, ,original filename: RBML_Core_0018, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/modern, , ,"University Archives, Columbia University",local,holdings, ,CN8 R15, , ,,,,,, ,"Randall, John Herman, Jr., 1899-1980", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0019.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,The Making of the Modern Mind. title page, , , ,12109, ,still image,fast, , ,1926, ,books,original_format, ,original filename: RBML_Core_0019, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/modern, , ,"University Archives, Columbia University",local,holdings, ,CN8 R15, , ,,,,,, ,"Randall, John Herman, Jr., 1899-1980", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0020.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,The New Yorker Cover. cover, , , ,12110, ,still image,fast, , ,"March 10, 1934", ,periodicals,original_format, ,original filename: RBML_Core_0020, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/modern, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,"Box 19, folder 2", , ,4079250, ,John Herman Randall Papers, ,"educational use, but no download of this item",,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0021.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Chronological Tables, 12th Century to the Present Day", , , ,12111, ,still image,fast, , ,1930, ,printed ephemera,original_format, ,original filename: RBML_Core_0021, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/textbooks, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 5, , ,4079677, ,John J.Coss papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0022.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Letter from Sterling Lamprecht to John J. Coss, , , ,12112, ,still image,fast, , ,"October 10, 1928", ,correspondence,original_format, ,original filename: RBML_Core_0022, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/people, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 2, , ,4079677, ,John J.Coss papers,,, ,"Lemprecht, Sterling|Coss, John J. (John Jacob), 1884-1940", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4688_Randall_JohnHerman4.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,John Herman Randall, , , ,12113, ,still image,fast, , ,circal 1937, ,photographs,original_format, ,original filename: 4688_Randall_JohnHerman, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1920s/modern, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 37, , ,4079250, ,John Herman Randall Papers,,,,,,,,,,inferred, , , , ,"Randall, John Herman, Jr., 1899-1980", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/1930_Hawkes_Herbert2.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Dean Herbert Hawkes with Students, , , ,12114, ,still image,fast, , ,1942, ,photographs,original_format, ,original filename: 1930_Hawkes_Herbert2, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/people, , ,"University Archives, Columbia University",local,holdings, ,Box 52, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,, , , , ,"Hawkes, Herbert E. (Herbert Edwin), 1872-1943", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0023.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Rexford Tugwell, , , ,12115, ,still image,fast, , ,circa 1930s, ,photographs,original_format, ,original filename: RBML_Core_0023, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/ccb, , ,"University Archives, Columbia University",local,holdings, ,Box 118, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,inferred, , , , ,"Tugwell, Rexford G. (Rexford Guy), 1891-1979", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0024.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,CCB Fieldwork Manual. cover, , , ,12116, ,still image,fast, , ,1932, ,printed ephemera,original_format, ,original filename: RBML_Core_0024, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/ccb, , ,"University Archives, Columbia University",local,holdings, ,CN St89, , ,,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/1901650001.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,CCB Fieldwork Manual. page 41, , , ,12117, ,still image,fast, , ,1932, ,printed ephemera,original_format, ,original filename: 1901650001, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/ccb, , ,"University Archives, Columbia University",local,holdings, ,CN St89, , ,,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/1901650002.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,CCB Fieldwork Manual. page 74, , , ,12118, ,still image,fast, , ,1932, ,printed ephemera,original_format, ,original filename: 1901650002, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/ccb, , ,"University Archives, Columbia University",local,holdings, ,CN St89, , ,,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0025.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A2 Exam. 1 page, , , ,12119, ,still image,fast, , ,1938, ,printed ephemera,original_format, ,original filename: RBML_Core_0025, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 12, folder 2", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0026.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A Syllabus. page 1, , , ,12120, ,still image,fast, , ,1937, ,printed ephemera,original_format, ,original filename: RBML_Core_0026, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 11, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0027.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A Syllabus. page 2, , , ,12121, ,still image,fast, , ,1937, ,printed ephemera,original_format, ,original filename: RBML_Core_0027, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 11, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0028.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A Syllabus. page 3, , , ,12122, ,still image,fast, , ,1937, ,printed ephemera,original_format, ,original filename: RBML_Core_0028, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 11, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0029.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A2 Syllabus. page 1, , , ,12123, ,still image,fast, , ,1938, ,printed ephemera,original_format, ,original filename: RBML_Core_0029, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 11, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0030.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Humanities A2 Syllabus. page 2, , , ,12124, ,still image,fast, , ,1938, ,printed ephemera,original_format, ,original filename: RBML_Core_0030, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/lithum, , ,"University Archives, Columbia University",local,holdings, ,"Box 11, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0031.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Jacques Barzun, , , ,12125, ,still image,fast, , ,circa 1930s, ,photographs,original_format, ,original filename: RBML_Core_0031, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/people, , ,"University Archives, Columbia University",local,holdings, ,Box 7, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,inferred, , , , ,"Barzun, Jacques, 1907-2012", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0032.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Teaching the Humanities typescript. page 1, , , ,12126, ,still image,fast, , ,1938, ,documents,original_format, ,original filename: RBML_Core_0032, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/people, , ,"University Archives, Columbia University",local,holdings, ,"Box 28, folder 11", , ,6953649, ,Core Curriculum Records,,, ,"Barzun, Jacques, 1907-2012", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0033.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Teaching the Humanities typescript. page 2, , , ,12127, ,still image,fast, , ,1938, ,documents,original_format, ,original filename: RBML_Core_0033, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1930s/people, , ,"University Archives, Columbia University",local,holdings, ,"Box 28, folder 11", , ,6953649, ,Core Curriculum Records,,, ,"Barzun, Jacques, 1907-2012", , , , , ,,,,,,,,,,,,,,,,,,,
