use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,form-2:form_term.uri,form-2:form_term.value,note-3:note_type,note-1:note_type,note-1:note_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,clio_identifier-1:clio_identifier_value,collection-1:collection_term.uri,collection-1:collection_term.value,collection-2:collection_term.uri,collection-2:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-7:note_type,note-7:note_value
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0118.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Extended Core Requirement: Major Cultures Requirement Approved Course List. page 1, , , ,12240, ,still image,fast, , ,December 1989, ,documents,original_format, ,original filename: RBML_Core_0118, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0119.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Extended Core Requirement: Major Cultures Requirement Approved Course List. page 2, , , ,12241, ,still image,fast, , ,December 1989, ,documents,original_format, ,original filename: RBML_Core_0119, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0120.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Extended Core Requirement: Major Cultures Requirement Approved Course List. page 3, , , ,12242, ,still image,fast, , ,December 1989, ,documents,original_format, ,original filename: RBML_Core_0120, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0121.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Extended Core Requirement: Major Cultures Requirement Approved Course List. page 4, , , ,12243, ,still image,fast, , ,December 1989, ,documents,original_format, ,original filename: RBML_Core_0121, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0122.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Extended Core Requirement: Major Cultures Requirement Approved Course List. page 5, , , ,12244, ,still image,fast, , ,December 1989, ,documents,original_format, ,original filename: RBML_Core_0122, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0123.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Columbia College Extended Core Requirement, , , ,12245, ,still image,fast, , ,September 1989, ,documents,original_format, ,original filename: RBML_Core_0123, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0124.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Cultures and Issues Approved Course List. page 1, , , ,12246, ,still image,fast, , ,1995-1996, ,documents,original_format, ,original filename: RBML_Core_0124, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0125.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Cultures and Issues Approved Course List. page 2, , , ,12247, ,still image,fast, , ,1995-1996, ,documents,original_format, ,original filename: RBML_Core_0125, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0126.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Cultures and Issues Approved Course List. page 3, , , ,12248, ,still image,fast, , ,1995-1996, ,documents,original_format, ,original filename: RBML_Core_0126, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0127.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Cultures and Issues Approved Course List. page 4, , , ,12249, ,still image,fast, , ,1995-1996, ,documents,original_format, ,original filename: RBML_Core_0127, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
