relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameRelator 2,nameType 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,abstract 2,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,form_originalFormat 1,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,item - public,title_nonsort,title,partName,identifier_title,title2_nonsort,title2,title2_type
Dramatic Museum Realia,,,,,,,,,,,,,,,"Two-part brown mask of old man with hinged jaw. Hinging is accomplished by puffs of string. Long, narrow beard of hair. Lines of forehead blend into those of eyes and cheeks",,1,,2485,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.15,  Box:  80",,,,rbml_realia_m1.15,reformatted digital," 7.5""x5.875""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of old male (possibly Okina),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Brown mask of old man with hinged jaw. Very broad and thick lips and nose; tufts at the eyebrows. The beard hair is mostly missing,,1,,2484,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.14,  Box:  79",,,,rbml_realia_m1.14,reformatted digital," 7.5""x6""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of old male (Okina),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Tan mask of old man with sad expression. Open mouth showing both sets of teeth. Hair, mustache and beard are all of hair; eyebrows are painted",,1,,2483,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.13,  Box:  78",,,,rbml_realia_m1.13,reformatted digital," 8""x6""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of old male (possibly Kojijo),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Tan mask of old man with sad expression. Open mouth is turned down and only upper teeth show. He looks almost insane,,1,,2482,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.12,  Box:  77",,,,rbml_realia_m1.12,reformatted digital," 8.375""x6.125""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of old male (Maijo),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Brown mask of old man with sad expression (mad?). He has a little mustache (painted) and a fringe of hair at temples,,1,,2481,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.11,  Box:  76",,,,rbml_realia_m1.11,reformatted digital," 8.125""x5.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Brown mask of old man gone mad; with mouth open and both sets of teeth showing and heavily knit brows.,,1,,2480,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.10,  Box:  75",,,,rbml_realia_m1.10,reformatted digital," 7.75""x5.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of mad male (possibly Kantan Otoko),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Blue-green mask of a demon with red down-turned mouth and gold eyes lined in red. Mustache and beard painted on; knit brows,,1,,2479,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.08,  Box:  74",,,,rbml_realia_m1.08,reformatted digital," 8.25""x5.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of a demon,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Red mask of demon with sour expression; down-turning mouth, heavy wrinkles in cheeks and knit brows ending in tight curls",,1,,2478,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.07,  Box:  73",,,,rbml_realia_m1.07,reformatted digital," 8.25""x5.75""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of a demon,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Black mask of young man; mouth parted and white teeth showing. Placid expression. ,,1,,2477,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.06,  Box:  72",,,,rbml_realia_m1.06,reformatted digital," 8""x5.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of young male,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Tan mask of warrior, bandit or demon with wide open, snarling mouth, tongue sticking out; gold eyes; fiercely knit brows",,1,,2476,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.05,  Box:  71",,,,rbml_realia_m1.05,reformatted digital," 8""x5.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of adult male (possibly a warrior or bandit),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"White mask of fierce face, perhaps a warrior or demon. Mouth is turned down, brows are knit and pulled up at ends. Beard and flowing mustache painted on, emphasizing ferocity. ",,1,,2475,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.04,  Box:  70",,,,rbml_realia_m1.04,reformatted digital," 7.875""x5.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of adult male (possibly a warrior or demon),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"White mask of a warrior(?) with knit brows raised high, mouth parted and teeth showing, eyes lined in red. ",,1,,2474,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery1,NNC-RB,marcorg,"DM number: M1.03,  Box:  69",,,,rbml_realia_m1.03,reformatted digital," 8""x5.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of adult male (possibly a warrior),,,,,
