relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,,"Pulitzer, Joseph ",,,,,,,,"April, 1886",,,1,0,,2987,Still Image,"Original Format: Draft manuscript letter, with autograph corrections",,,,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018070a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-04 ,,"Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club",,,,,
,,"Pulitzer, Joseph ",,,,,,,,"April, 1886",,,1,0,,2986,Still Image,"Original Format: Draft manuscript letter, with autograph corrections",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018070,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-04 ,,"Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club",,,,,
,,"Pulitzer, Joseph ",,,,,,,ex,[January 1911?],,,1,0,,2985,Still Image,Original Format: Proof of World editorial,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,nnc-rb,,,Box 51,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018069,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,[Proof of Editorial] Freedom of the Press,,,,,
,,World,,,,,,,,1911,,,1,0,,2984,Still Image,Original Format: Proof of printed pamphet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,,,,Box 51,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018068,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1911,,[Proof of] The Roosevelt Panama Libel Case Against The New York World (The United States vs. The Press Publishing Co),,,,,
,,"Pulitzer, Joseph ",,,,,,,,[January 1911],,,1,0,,2983,Still Image,Original Format: Manuscript Notes ,,,,,,,Box 51,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018067a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library","On board ""Liberty""",,,,,,,,,,,,,,,,,,,,,1911-01 ,,Manuscript Notes on The Panama Canal libel case pamphlet,,,,,
,,"Pulitzer, Joseph ",,,,,,,,[January 1911],,,1,0,,2982,Still Image,Original Format: Manuscript Notes ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,,,,Box 51,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018067,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library","On board ""Liberty""",,,,,,,,,,,,,,,,,,,,,1911-01 ,,Manuscript Notes on The Panama Canal libel case pamphlet,,,,,
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2981,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066e,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 6",,,,,
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2980,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066d,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 5",,,,,
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2979,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066c,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 4",,,,,
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2978,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 3",,,,,
