relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,,"Pulitzer, Joseph ",,,,,,,,"March 31-April 18, 1888",,,1,0,,2918,Still Image,Original Format: Manuscript document,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-letters,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018036,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1888-03-31 1888-04-18,,Personal ledger,,,,,
,,World,,,,,,,ex,"[August, 1887]",,,1,0,,2917,Still Image,Original Format: Manuscript list ,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,nnc-rb,,,World Papers Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018034,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-08 ,,Conspicuous Features in World since Mar. 1/85,,,,,
,,Monument Bartholdi Comit,,,,,,,,[1887],,,1,0,,2916,Still Image,Original Format: Manuscript list ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018033a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[Paris],,,,,,,,,,,,,,,,,,,,,1887,,List of committee members,,,,,
,,Monument Bartholdi Comit,,,,,,,,[1887],,,1,0,,2915,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018033,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[Paris],,,,,,,,,,,,,,,,,,,,,1887,,"Autograph letter, signed by A. Rubin, with list of committee members",,,,,
,,"Pulitzer, Joseph ",,,,,,,,[1887],,,1,0,,2914,Still Image,Original Format: Autograph drafts ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018032b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887,,Autograph drafts relating to dedication of Statue of Liberty,,,,,
,,"Pulitzer, Joseph ",,,,,,,,[1887],,,1,0,,2913,Still Image,Original Format: Autograph drafts ,,,,,,,Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018032a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887,,Autograph drafts relating to dedication of Statue of Liberty,,,,,
,,"Pulitzer, Joseph ",,,,,,,,[1887],,,1,0,,2912,Still Image,Original Format: Autograph drafts ,,,,,,,Box 9,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018032,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887,,Autograph drafts relating to dedication of Statue of Liberty,,,,,
,,"Campiglio, P. F.",,,,,,,,"October 15, 1886",,,1,0,,2911,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018031,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-10-15 ,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Hoope, A. W. ",,,,,,,,"October 13, 1886",,,1,0,,2910,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018030b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",Philadelphia,,,,,,,,,,,,,,,,,,,,,1886-10-13 ,,Letters received regarding Statue of Liberty dedication,,,,,
,,"Kehoe, John",,,,,,,,"October 26, 1886",,,1,0,,2909,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018030a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-10-26 ,,Letters received regarding Statue of Liberty dedication,,,,,
,,Enthusiast,,,,,,,,"October 26, 1886",,,1,0,,2908,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018030,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-10-26 ,,Letters received regarding Statue of Liberty dedication,,,,,
,,"Pulitzer, Joseph ",,,,,,,,"November 27, 1886",,,1,0,,2907,Still Image,"Original Format: Draft letter, with autograph corrections",,,,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018029,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-11-27 ,,"Draft letter, with autograph corrections, to Dr. Mumford",,,,,
,,World,,,,,,,,[March 1885],,,1,0,,2906,Still Image,Original Format: Printed and manuscript document,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018028,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1885-03 ,,Phenomenal Success and the Figures to Prove It,,,,,
,,"Pulitzer, Joseph ",,,,,,,,"December 8, 1886",,,1,0,,2905,Still Image,"Original Format: Draft letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/working-at-the-world,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018027,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-12-08 ,,"Draft letter of introduction, with autograph corrections, signed, for John A. Cockerill",,,,,
,,World,,,,,,,,"May, 1888",,,1,0,,2904,Still Image,Original Format: Manuscript document,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018026,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1888-05 ,,Earnings For the Week ending May 26th 1888,,,,,
,,"Pulitzer, Joseph ",,,,,,,,1903-1905,,,1,0,,2903,Still Image,Original Format: Typescript,,,,,,,Box 5,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018025c,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Louis M. Starr 1983-1984,,,Starr Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1903 1905,,"Transcripts of Pitman shorthand notebooks, page 4",,,,,
,,"Pulitzer, Joseph ",,,,,,,,1903-1905,,,1,0,,2902,Still Image,Original Format: Typescript,,,,,,,Box 5,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018025b,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Louis M. Starr 1983-1984,,,Starr Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1903 1905,,"Transcripts of Pitman shorthand notebooks, page 3",,,,,
,,"Pulitzer, Joseph ",,,,,,,,1903-1905,,,1,0,,2901,Still Image,Original Format: Typescript,,,,,,,Box 5,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018025a,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Louis M. Starr 1983-1984,,,Starr Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1903 1905,,"Transcripts of Pitman shorthand notebooks, page 2",,,,,
,,"Pulitzer, Joseph ",,,,,,,,1903-1905,,,1,0,,2900,Still Image,Original Format: Typescript,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-biographies/pulitzer-biographies,,,,Box 5,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018025,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Louis M. Starr 1983-1984,,,Starr Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1903 1905,,"Transcripts of Pitman shorthand notebooks, page 1",,,,,
,,World Composing Room,,,,,,,,"November 15, 1883",,,1,0,,2899,Still Image,"Original Format: Manuscript document, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/working-at-the-world,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018024,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1883-11-15 ,,"Autograph letter, signed by 49 compositors",,,,,
,,"Olney, George W. ",,,,,,,,"November 1, 1883",,,1,0,,2898,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018023,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1883-11-01 ,,"Autograph letter, signed, to Joseph Pulitzer ",,,,,
,,World,,,,,,,,[1889],,,1,0,,2897,Still Image,Original Format: Printed newspaper clipping,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018022,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889,,"The World, clipping, Masthead 1889",,,,,
,,"Dillon, John A. ",,,,,,,,"July 8, 1885",,,1,0,,2896,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/health-problems,,,,Box 5,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018021,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",St. Louis,,,,,,,,,,,,,,,,,,,,,1885-07-08 ,,"Autograph letter, signed, to Joseph Pulitzer ",,,,,
,,World,,,,,,,,"May 11, 1883",,,1,0,,2895,Still Image,Original Format: Printed newspaper,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018020,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1883-05-11 ,,"The World, May 11, 1883",,,,,
,,World,,,,,,,,[1888],,,1,0,,2894,Still Image,Original Format: Printed book,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018019a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1888,,"The World 1889 Almanac, back ",,,,,
,,World,,,,,,,,[1888],,,1,0,,2893,Still Image,Original Format: Printed book,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018019,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1888,,"The World 1889 Almanac, front ",,,,,
,,Steam Yacht Liberty,,,,,,,,March 1908 - February 1909,,,1,0,,2892,Still Image,Original Format: Ledger,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/homes,,,,Box 49,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018018,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Leith and various places,,,,,,,,,,,,,,,,,,,,,1908-03 1909-02,,Official Charges account book,,,,,
,,"Davis, Varina Howell ",,,,,,,,3-Jan.-06,,,1,0,,2891,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-letters,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018017,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,733,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Marble, Manton ",,,,,,,,"January 14, [1888]",,,1,0,,2890,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/health-problems,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018016,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Washington,,,,,,,,,,,,,,,,,,,,,1888-01-14 ,,"Autograph letter, signed, to Kate Davis Pulitzer",,,,,
,,"Mitchell, S. Weir ",,,,,,,,"[December 18, 1891]",,,1,0,,2889,Still Image,Original Format: Typed letter ,,,,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018015b,,,,,,,,,,,Joseph Pulitzer and The World,,,,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Philadelphia,,,,,,,,,,,,,,,,,,,,,1891-12-18 ,,Typed letter to Kate Davis Pulitzer,,,,,
,,"Mitchell, S. Weir ",,,,,,,,"[December 18, 1891]",,,1,0,,2888,Still Image,Original Format: Typed letter ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/health-problems,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018015a,,,,,,,,,,,Joseph Pulitzer and The World,,,,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Philadelphia,,,,,,,,,,,,,,,,,,,,,1891-12-18 ,,Typed letter to Kate Davis Pulitzer,,,,,
,,"Mitchell, S. Weir ",,,,,,,,"[December 18, 1891]",,,1,0,,2887,Still Image,Original Format: Envelope,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/health-problems,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018015,,,,,,,,,,,Joseph Pulitzer and The World,,,,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Philadelphia,,,,,,,,,,,,,,,,,,,,,1891-12-18 ,,Envelope to Kate Davis Pulitzer,,,,,
,,St. Louis Post Dispatch,,,,,,,ex,"October 7, 1889",,,1,0,,2886,Still Image,Original Format: Newspaper,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-st--louis-post-dispatch,nnc-rb,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018014,,rd,,,,,,,,,Joseph Pulitzer and The World,,,,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",St. Louis,,,,,,,,,,,,,,,,,,,,,1889-10-07 ,,St. Louis Post Dispatch,,,,,
,,"Pulitzer, Ralph ",,,,,,,,"June 9, 1887",,,1,0,,2885,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013e,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,"Autograph letter, signed, to Kate Pulitzer",,,,,
,,"Pulitzer, Ralph ",,,,,,,,"June 9, 1887",,,1,0,,2884,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013d,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,"Autograph letter, signed, to Kate Pulitzer",,,,,
,,"Pulitzer, Lucille",,,,,,,,"June 9, 1887",,,1,0,,2883,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013c,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Pulitzer, Lucille",,,,,,,,"June 9, 1887",,,1,0,,2882,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Pulitzer, Lucille",,,,,,,,"June 9, 1887",,,1,0,,2881,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Pulitzer, Ralph ",,,,,,,,"June 9, 1887",,,1,0,,2880,Still Image,Original Format: Autograph Envelope,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-life,,,,Box 7,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018013,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1887-06-09 ,,Envelope addressed to Mrs. Pultizer ,,,,,
,,Claridge,,,,,,,,no date,,,1,0,,2879,Still Image,Original Format: Manuscript,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-letters,,,,Box 4,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018010,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",London,,,,,,,,,,,,,,,,,,,,,,,Account for Edith Pulitzer,,,,,
,,"Pulitzer, Joseph and Kate",,,,,,,,no date,,,1,0,,2878,Still Image,Original Format: Calling card,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/homes,,,,Box 4,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018009,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,,,"Calling card, Chatwold, Bar Harbor",,,,,
,,,,,,,,,,1900s,,,1,0,,2877,Still Image,Original Format: Photograph,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/homes,,,,Box 30,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018008,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of W. A. Swanberg, 1984",,,Swanberg Papers,"Columbia University, Rare Book & Manuscript Library","Bar Harbor, Maine",,,,,,,,,,,,,,,,,,,,,,,"Photograph of Pulitzer home,Chatwold, Bar Harbor",,,,,
,,"Baker, Floyd E. ",,,,,,,,1890s,,,1,0,,2876,Still Image,Original Format: Photograph,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/homes,,,,Box 30,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018007,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of W. A. Swanberg, 1984",,,Swanberg Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Photograph of Pulitzer home, #17, East 73rd St., New York",,,,,
,,"Sarony, New York",,,,,,,ex,ca. 1889,,,1,0,,2875,Still Image,Original Format: Photograph,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,,"World Papers, Box 10",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018006,,rd,,,,,,,,,Joseph Pulitzer and The World,,,,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Photograph of Kate Davis Pulitzer,,,,,
,,"Navar, Paris",,,,,,,ex,"June, 1889",,,1,0,,2874,Still Image,Original Format: Photograph,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,,"World Papers, Box 10",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018005,,rd,,,,,,,,,Joseph Pulitzer and The World,,,,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",Paris,,,,,,,,,,,,,,,,,,,,,1889-06 ,,Photograph of Constance Helen Pulitzer,,,,,
,,"Navar, Paris",,,,,,,ex,"June, 1889",,,1,0,,2873,Still Image,Original Format: Photograph,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,,"World Papers, Box 10",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018004,,rd,,,,,,,,,Joseph Pulitzer and The World,,,,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",Paris,,,,,,,,,,,,,,,,,,,,,1889-06 ,,Photograph of Ralph Pulitzer,,,,,
,,"Navar, Paris",,,,,,,ex,"June, 1889",,,1,0,,2872,Still Image,Original Format: Photograph,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,,"World Papers, Box 10",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018003,,rd,,,,,,,,,Joseph Pulitzer and The World,,,,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",Paris,,,,,,,,,,,,,,,,,,,,,1889-06 ,,Photograph of Lucille Pulitzer,,,,,
,,"Falk, New York",,,,,,,ex,ca. 1889,,,1,0,,2871,Still Image,Original Format: Photograph,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,,"World Papers, Box 10",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018002,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Photograph of Joseph Pulitzer,,,,,
