use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-2:note_type,note-2:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Receipt Madame Gay ""plats y Carraffes"", front", , , ,12338,original_format, ,ephemera, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1782, ,French,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0014.jpg, ,"Gay, Madame", , , , , , ,still image,fast,holdings, ,Box 59, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Mrs. John Jay, front", , , ,12337,original_format, ,prints|Portraits, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1872, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0013.jpg, ,"Chappel, Alonzo, 1828-1887", , , , , , ,still image,fast,holdings, ,Box 56 Jam-Jog, , , ,General Portraits ,approximate, , , , ,"Jay, Sarah Livingston", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Sarah Jay and Her Children, front", , , ,12336,original_format, ,prints, , ,Private Collection,local, ,reformatted digital, ,Still Image,1797, ,English,iso639-2,,, ,"Sharples, James, 1752-1811", , , , , , ,still image,fast,,,,,,,,approximate, , , , ,"Jay, Sarah Livingston", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"The Spy, title page", , , ,12335,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1822, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0012.jpg, ,"Cooper, James Fenimore, 1789-1851", , , , , , ,still image,fast,holdings, ,B812C78 W 1822 , , ,,,,,,,,,,,,,,,,,,,,,,G. & W.B. Whittaker,London,5552076
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Continental Congress to John Jay, front", , , ,12334,original_format, ,manuscripts, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1 Oct. 1779, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0011.jpg, ,"United States. Continental Congress|Thomson, Charles, 1729-1824", , , , , , ,still image,fast,holdings, ,Box 61, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"George Washington to Sarah Livingston Jay, front", , , ,12333,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,7 October 1779, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0010.jpg, ,"Washington, George, 1732-1799|Jay, Sarah Livingston", , , , , , ,still image,fast,holdings, ,Box 1, , , ,George Washington Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"""1. The United States of America, may they be perpetual."", front", , , ,12332,original_format, ,manuscripts, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,after 3 Sept. 1783, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0009.jpg, ,"Jay, Sarah Livingston|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 59, , , ,John Jay Papers,inferred,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Journal of the Proceedings of the Congress, held at Philadelphia, May 10, 1775, page 6 ", , , ,12331,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1775, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0008.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,B328.731 B, , ,,,,,,,,,,,,,,,,,,,,,,William and Thomas Bradford,Philadelphia,5522192
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"The Declaration by the Representatives of the United Colonies of North America, page 25", , , ,12330,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1775, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0007.jpg, ,"United States. Continental Congress|Dickinson, John, 1732-1808", , , , , , ,still image,fast,holdings, ,SELIGMAN 1775E Un3 C. 1, , , ,Seligman Books,,,,,,,,,,,,,,,,,, ,The declaration and the petition were drawn up by John Dickinson.,,London,5462177
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"George Washington to John Jay and Philip Livingston, front (including address)", , , ,12329,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,29 June 1776, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0006.jpg, ,"Washington, George, 1732-1799|Jay, John, 1745-1829|Livingston, Philip, 1716-1778", , , , , , ,still image,fast,holdings, ,Box 1, , , ,George Washington Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"An Address of the Convention of the Representatives of the State of New-York to Their Constituents, title page", , , ,12328,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1777, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0005.jpg, ,"Jay, John, 1745-1829|New York (State). Convention of the Representatives (1776-1777)", , , , , , ,still image,fast,holdings, ,JK128. N4 1777g, , ,,,,,,,,,,,,,,,,,,,, ,"""A CITIZEN OF NEW-YORK""",Green and Spooner,Fishkill|Norwich,1598188
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay Militia Commission, front", , , ,12327,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,3 Nov. 1775, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0004.jpg, ,New York (Colony). Provincial Congress, , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"South East View of the City of New York, front", , , ,12326,original_format, ,drawings, , ,"University Archives, Columbia University",local, ,reformatted digital, ,Still Image,1768, ,English,iso639-2,filename,1643.PalmTreePrint.jpg, ,"Howdell, Thomas|Canot, Pierre Charles, 1710-1777", , , , , , ,still image,fast,holdings, ,Series XV.2 Box 12, , , ,Historical Photograph Collection,approximate,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12325,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0003.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"The Matricula or Register of Admissions & Graduations & of Officers employed in KIng's College at New York, page 6 (detail of Admissions Anno 1760 section)", , , ,12324,original_format, ,manuscripts, , ,"University Archives, Columbia University",local, ,reformatted digital, ,Still Image,1754-1777, ,English,iso639-2,filename,ldpd_7441346_000_00000012.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,"Series III: King's College Manuscripts, Box 14 Folder 6", , , ,Columbiana Manuscripts,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Bill of Fare, circa 1754-1776, front", , , ,12323,original_format, ,manuscripts, , ,"University Archives, Columbia University",local, ,reformatted digital, ,Still Image,circa 1754-1776, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0002.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,"Series III: King's College Manuscripts, Box 13 Folder 2", , , ,Columbiana Manuscripts,approximate,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Laws of King's College, front", , , ,12322,original_format, ,manuscripts, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,29 August 1760, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0001.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
