identifier_omeka,item - public,item - featured,keyDate_start,form,relatedItem_collection,sublocation,shelfLocator,digitalOrigin,physicalLocation,languageOfCataloging,note,dateQualifier,subject_topic,subject_topic 1,subject_topic 2,subject_topic 3,name,name 1,name 2,dateCreated,title,accessCondition,	identifier_clio,note_ownership,note_filename,	typeOfResource,	relatedItem_Project,	location_url_ObjectInContext
9641,1,0,1909-06-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 39A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jun 1, 1909",Union Theological Seminary C-7075. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880063.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9640,1,0,1909-05-03,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 38",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","May 3, 1909",Union Theological Seminary C-7048. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880062.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9639,1,0,1909-04-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 37B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Apr 1, 1909",Union Theological Seminary C-7016. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880061.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9638,1,0,1909-04-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 37A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Apr 1, 1909",Union Theological Seminary C-7016. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880060.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9637,1,0,1909-03-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 36B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Mar 1, 1909",Union Theological Seminary C-6969. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880059.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9636,1,0,1909-03-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 36A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Mar 1, 1909",Union Theological Seminary C-6969. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880058.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9635,1,0,1909-02-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 35B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Feb 1, 1909","Union Theological Seminary, Broadway and 121st St. C-6920. Library","Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880057.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9634,1,0,1909-02-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 35A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Feb 1, 1909","Union Theological Seminary, Broadway and 121st St. C-6920. Library","Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880056.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9633,1,0,1909-01-02,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 34B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jan 2, 1909",Union Theological Seminary C-6900. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880055.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9632,1,0,1909-01-02,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 34A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jan 2, 1909",Union Theological Seminary C-6900. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880054.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfoundation
9631,1,0,1908-12-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 33B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Dec 1, 1908",Union Theological Seminary C-6867. Library (looking east),"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880053.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfoundation
9630,1,0,1908-12-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 33A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Dec 1, 1908",Union Theological Seminary C-6867. Library (looking east),"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880052.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9629,1,0,1908-11-04,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 32B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Nov 4, 1908",Union Theological Seminary C-6819. 121st St. and Broadway. Library (looking north towards 122nd St.),"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880051.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
