omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5623,1968ColumbiaCrisis_mfb,item,Mark Rudd speaking,Mark Rudd leading a discussion in Fayerweather,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Adler, Gerald S.",,,,"Gerald S. Adler, '80 GSAS",ownership,Permission to reproduce this image must be obtained from Gerald S. Adler. Please contact the University Archives for contact information.
omeka_5623,1968ColumbiaCrisis_mfb_000,asset,Mark Rudd speaking,Mark Rudd leading a discussion in Fayerweather,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/strike,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_adler_390,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc,item,Up Against the Wall,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",,,,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 14, Folder 6",Box 14,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 11.25""x16.5""",,,
omeka_5524,1968ColumbiaCrisis_mgc_001,asset,Page 1,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044009,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_002,asset,Page 2,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_003,asset,Page 3,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_004,asset,Page 4,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall4.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_005,asset,Page 5,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall5.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_006,asset,Page 6,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall6.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_007,asset,Page 7,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall7.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5524,1968ColumbiaCrisis_mgc_008,asset,Page 8,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall8.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5609,1968ColumbiaCrisis_mgo,item,"Columbia Daily Spectator, 2/28/69","The Columbia Daily Spectator. 28 February 1969, p. 4",,,,1969-02-28,,28-Feb-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5609,1968ColumbiaCrisis_mgo_000,asset,Page 4,"The Columbia Daily Spectator. 28 February 1969, p. 4",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044094,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5653,1968ColumbiaCrisis_mgp,item,Students inside occupied Hamilton Hall,Students inside Hamilton Hall during the occupation,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Bourne, St. Clair, 1943-2007",nar,http://id.loc.gov/authorities/names/n92105155,,,,This image may not be reproduced. Please contact the University Archives with any questions.
omeka_5653,1968ColumbiaCrisis_mgp_000,asset,Students inside occupied Hamilton Hall,Students inside Hamilton Hall during the occupation,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_columbia_07,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5563,1968ColumbiaCrisis_moh,item,1968 commencement program,Program for 1968 commencement. ,,,,1968-06-04,,4-Jun-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 21, Folder 3",Box 21,Folder 3,"Commencement Collection, 1758- [Bulk Dates 1968]",Collection number: UA#007,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,,,,,,,"Physical Dimensions: 8.75""x5.75""",,,
omeka_5563,1968ColumbiaCrisis_moh_000,asset,1968 commencement program,Program for 1968 commencement. ,https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044048,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5666,1968ColumbiaCrisis_mpr,item,"""1968: Crisis at Columbia"" exhibition posters",,,,,2010-01-01,2010-05-18,2008,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,still image,,,,reformatted digital,,,,,,,,,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Baer, Greg",,,,"Columbia University Archives, Rare Book and Manuscript Library.",ownership,
omeka_5666,1968ColumbiaCrisis_mpr_001,asset,Front page,,,1968-frontpage.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5666,1968ColumbiaCrisis_mpr_002,asset,Front,,,1968-front-298.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5666,1968ColumbiaCrisis_mpr_003,asset,Front page medium,,,1968-frontpage-med.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5610,1968ColumbiaCrisis_mtp,item,"Columbia Daily Spectator, 2/28/69","The Columbia Daily Spectator. 28 February 1969, p. 5",,,,1969-02-28,,28-Feb-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5610,1968ColumbiaCrisis_mtp_000,asset,Page 5,"The Columbia Daily Spectator. 28 February 1969, p. 5",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044095,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5519,1968ColumbiaCrisis_muu,item,"""Stop Columbia's Gym Crow"" circular","Type written circular protesting Columbia's plans to build a gymnasium in Morningside Park.  Begins with: ""The big steal is on.""",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 10, Folder 3",Box 10,Folder 3,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#125,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5519,1968ColumbiaCrisis_muu_000,asset,"""Stop Columbia's Gym Crow"" circular","Type written circular protesting Columbia's plans to build a gymnasium in Morningside Park.  Begins with: ""The big steal is on.""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044004,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5648,1968ColumbiaCrisis_ncv,item,Commencement,1968 Columbia University Commencement ,,,,1968-06-04,,4-Jun-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,Hugh Rogers Photography,naf,http://id.loc.gov/authorities/names/no2015164843,,Columbia College Today,ownership,Permission to reproduce this image must be obtained from Columbia College Today. Please contact the University Archives for contact information.
omeka_5648,1968ColumbiaCrisis_ncv_000,asset,Commencement,1968 Columbia University Commencement ,https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_cct_8,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_6091,1968ColumbiaCrisis_nhb,item,"Crowds leaving Martin Luther King, Jr. memorial service","Crowds leaving Martin Luther King, Jr. memorial service held in St. Paul's Chapel on April 9, 1968.
",,,,1968-04-09,,9 April 1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,"Box 59, Frame 9a",Box 59,Frame 9a,Office of Public Affairs Negatives,Collection number: UA#0519,Memorial service,fast,http://id.worldcat.org/fast/1015902,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,"King, Martin Luther, Jr., 1929-1968",fast,http://id.worldcat.org/fast/40023,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,Original Format: 35 mm negative,,,
omeka_6091,1968ColumbiaCrisis_nhb_000,asset,"Crowds leaving Martin Luther King, Jr. memorial service","Crowds leaving Martin Luther King, Jr. memorial service held in St. Paul's Chapel on April 9, 1968.
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/mlk,1922_mlkmemorialservice4.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5566,1968ColumbiaCrisis_njq,item,Press statement. 23/8/68. Grayson Kirk statement of resignation.,"Press release re: President's Kirk resignation. Written by Chairman of the Trustees, William E. Petersen (3 pages)",,,,1968-08-23,,23-Aug-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 1, Folder 4",Box 1,Folder 4,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,College presidents,fast,http://id.worldcat.org/fast/867876,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5566,1968ColumbiaCrisis_njq_001,asset,Page 1,"Press release re: President's Kirk resignation. Written by Chairman of the Trustees, William E. Petersen (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/consequences/faculty,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044051,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5566,1968ColumbiaCrisis_njq_002,asset,Page 2,"Press release re: President's Kirk resignation. Written by Chairman of the Trustees, William E. Petersen (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/consequences/faculty,Resignation2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5566,1968ColumbiaCrisis_njq_003,asset,Page 3,"Press release re: President's Kirk resignation. Written by Chairman of the Trustees, William E. Petersen (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/consequences/faculty,Resignation3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5660,1968ColumbiaCrisis_noe,item,"""Our Demands"" circular",Circular listing the demands of the occupying students.,,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 11, Folder 41",Box 11,Folder 41,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5"" x11""",,,
omeka_5660,1968ColumbiaCrisis_noe_000,asset,"""Our Demands"" circular",Circular listing the demands of the occupying students.,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/first,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_ourdemands,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5552,1968ColumbiaCrisis_nol,item,Committee for Defense of Property Rights Charges,"Circular, also titled ""S.D.S.: TODAY'S VERSION OF NAZI THUGS."" Students who were against SDS often compared the group and its tactics
with the Nazis.
",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 10, Folder 15",Box 10,Folder 15,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x14""",,,
omeka_5552,1968ColumbiaCrisis_nol_000,asset,Committee for Defense of Property Rights Charges,"Circular, also titled ""S.D.S.: TODAY'S VERSION OF NAZI THUGS."" Students who were against SDS often compared the group and its tactics
with the Nazis.
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/majority,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044037,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5585,1968ColumbiaCrisis_nsz,item,"""Teach-in Thursday-May 2, 1968"" circular","Circular advertising ""Student Power and the Community"" with a list of speakers including Margaret Mead and many others. Held at the Teacher's College at 8:00 p.m.",,,,1968-05-02,,2-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 10, Folder 24",Box 10,Folder 24,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5"" x 11""",,,
omeka_5585,1968ColumbiaCrisis_nsz_000,asset,"""Teach-in Thursday-May 2, 1968"" circular","Circular advertising ""Student Power and the Community"" with a list of speakers including Margaret Mead and many others. Held at the Teacher's College at 8:00 p.m.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/campus/sec,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044070,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5534,1968ColumbiaCrisis_ofr,item,"""Tired? Tired? Tired?"" circular","Typewritten circular. Notice of anti-SDS meeting for April 23, 1968.",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 14, Folder 8",Box 14,Folder 8,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5534,1968ColumbiaCrisis_ofr_000,asset,"""Tired? Tired? Tired?"" circular","Typewritten circular. Notice of anti-SDS meeting for April 23, 1968.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/first,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044019,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5575,1968ColumbiaCrisis_oim,item,Letter to President Kirk from Jane Cullen Chrzanowski,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. (3 pages)",,,,1968-05-01,,1-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 44, Folder 6",Box 44,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 8.5"" x11""",,,
omeka_5575,1968ColumbiaCrisis_oim_001,asset,Page 1,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044060,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5575,1968ColumbiaCrisis_oim_002,asset,Page 2,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk2,Chrzanowski2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5575,1968ColumbiaCrisis_oim_003,asset,Page 3,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. (3 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk2,Chrzanowski3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5626,1968ColumbiaCrisis_ois,item,"""Remember Your Pill""","View of students occuping a building with ""Remember your Pill"" written on chalkboard",,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Adler, Gerald S.",,,,"Gerald S. Adler, '80 GSAS",ownership,Permission to reproduce this image must be obtained from Gerald S. Adler. Please contact the University Archives for contact information.
omeka_5626,1968ColumbiaCrisis_ois_000,asset,"""Remember Your Pill""","View of students occuping a building with ""Remember your Pill"" written on chalkboard",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/women,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_adler_487,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5600,1968ColumbiaCrisis_ojr,item,"""Strike Activities Attract Crowds""","The Columbia Daily Spectator. 6 May 1968, front page article and continuation on page 4.",,,,1968-05-06,,6-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1967-1968,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,
omeka_5600,1968ColumbiaCrisis_ojr_001,asset,Page 1,"The Columbia Daily Spectator. 6 May 1968, front page article and continuation on page 4.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/campus/sec,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044085,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5600,1968ColumbiaCrisis_ojr_004,asset,Page 4,"The Columbia Daily Spectator. 6 May 1968, front page article and continuation on page 4.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/campus/sec,Strike Article2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5662,1968ColumbiaCrisis_oss,item,Community protests,"View of community members protesting at 115th Street and Amsterdam Avenue (looking south). Small boy holds up a sign ""Columbia stay the hell out""",,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Pearcy, Lee T.",naf,http://id.loc.gov/authorities/names/n84073128,,"Lee T. Pearcy, '69 CC",ownership,Permission to reproduce this image must be obtained from Lee T. Pearcy. Please contact the University Archives for contact information.
omeka_5662,1968ColumbiaCrisis_oss_000,asset,Community protests,"View of community members protesting at 115th Street and Amsterdam Avenue (looking south). Small boy holds up a sign ""Columbia stay the hell out""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/outside,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_pearcy_3,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5664,1968ColumbiaCrisis_owe,item,"""Strike"" button",,,,,1968,,1968,,Private Collection,,,,three dimensional object,objects,aat,http://vocab.getty.edu/aat/300311889,reformatted digital ,,,,Private Collection,,Buttons,fast,http://id.worldcat.org/fast/843155,,,,,,,,,,,,,,"Frank da Cruz (GS 1971, SEAS 1976)",ownership,This image may not be reproduced without the permission of Frank da Cruz. Please contact the University Archives for further information.
omeka_5664,1968ColumbiaCrisis_owe_000,asset,"""Strike"" button",,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/outside,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_strikebutton,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5540,1968ColumbiaCrisis_pap,item,At Issue,"Third page of May 13, 1968 edition of At Issue",,,,1968-05-13,,13-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 10, Folder 1",Box 10,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 11.25"" x16""",,,
omeka_5530,1968ColumbiaCrisis_pap_000,asset,Page 7,"Newspaper, Up Against the Wall, Vol III, no. 1, page 7",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044015,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5530,1968ColumbiaCrisis_pap_000,asset,Page 7,"Newspaper, Up Against the Wall, Vol III, no. 1, page 7",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044015,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5536,1968ColumbiaCrisis_pkv,item,Press Statement of Black Students in Hamilton Hall (Ray Brown) ,"Press release, black students protesting Columbia University administrator's racism and refusal to deal with the community around the school (2 pages).",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 11, Folder 15",Box 11,Folder 15,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 8.5""x14""",,,
omeka_5536,1968ColumbiaCrisis_pkv_001,asset,Page 1,"Press release, black students protesting Columbia University administrator's racism and refusal to deal with the community around the school (2 pages).",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044021,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5536,1968ColumbiaCrisis_pkv_002,asset,Page 2,"Press release, black students protesting Columbia University administrator's racism and refusal to deal with the community around the school (2 pages).",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/sas,Ray Brown2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
