omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5621,1968ColumbiaCrisis_gno,item,Buttons,"A selection of 1968 related buttons mounted on a red background: ""Strike If We Must"", ""Strike!"" ""A Free University In A Free Society: 
Columbia SDS""
",,,,1968,,1968,,Private Collection,,,,three dimensional object,objects,aat,http://vocab.getty.edu/aat/300311889,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,"Frank da Cruz (GS 1971, SEAS 1976)",ownership,This image may not be reproduced without the permission of Frank da Cruz. Please contact the University Archives for further information.
omeka_5621,1968ColumbiaCrisis_gno_000,asset,Buttons,"A selection of 1968 related buttons mounted on a red background: ""Strike If We Must"", ""Strike!"" ""A Free University In A Free Society: 
Columbia SDS""
",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_1968_buttons,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5576,1968ColumbiaCrisis_gro,item,Letter to President Kirk from Jane Cullen Chrzanowski,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. ",,,,1968-05-01,,1-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 44, Folder 6",Box 44,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5"" x 11""",,,
omeka_5576,1968ColumbiaCrisis_gro_000,asset,Page 2,"Type written letter to Kirk from Jane Cullen Chrzanowski, anti-bust. ",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044061,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5517,1968ColumbiaCrisis_gxn,item,"""Live Music ROTC"" back side of circular","Blue circular, type written reasons why ""ROTC Must Go""",,,,1967,,1967,inferred,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 9, Folder 55",Box 9,Folder 55,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,"Physical Dimensions: 8.5"" x11""",,,
omeka_5517,1968ColumbiaCrisis_gxn_000,asset,"""Live Music ROTC"" back side of circular","Blue circular, type written reasons why ""ROTC Must Go""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044002,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5596,1968ColumbiaCrisis_gzm,item,"""40 Walk Out of Memorial Service""","The Columbia Daily Spectator. 10 April 1968, page 3. continuation of front page article.",,,,1968-04-10,,10-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1967-1968,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,,,,
omeka_5596,1968ColumbiaCrisis_gzm_003,asset,Page 3,"The Columbia Daily Spectator. 10 April 1968, page 3. continuation of front page article.",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044081,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5544,1968ColumbiaCrisis_hca,item,Envelope for Aaron Frisberg letter to Ed Boorstein,Front of envelope for letter with Return to Sender stamp.,,,,1968-04-29,,29-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 11, Folder 21",Box 11,Folder 21,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 4"" x6""",,,
omeka_5544,1968ColumbiaCrisis_hca_000,asset,Envelope for Aaron Frisberg letter to Ed Boorstein,Front of envelope for letter with Return to Sender stamp.,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044029,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5525,1968ColumbiaCrisis_hee,item,Up Against the Wall,"Newspaper, Up Against the Wall, Vol III, no. 1, page 2",,,,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 14, Folder 6",Box 14,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,"Physical Dimensions: 11.25""x16.5""",,,
omeka_5525,1968ColumbiaCrisis_hee_000,asset,Page 2,"Newspaper, Up Against the Wall, Vol III, no. 1, page 2",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044010,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5527,1968ColumbiaCrisis_hjg,item,Up Against the Wall,"Newspaper, Up Against the Wall, Vol III, no. 1, page 4",,,,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 14, Folder 6",Box 14,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,"Physical Dimensions: 11.25""x16.5""",,,
