note-1:note_value,note-1:note_type,_restrictions.restricted_size_image,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,_pid,note-2:note_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,note-3:note_value,note-3:note_type,collection-1:collection_term.value,collection-1:collection_term.uri,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,digital_origin-1:digital_origin_value,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,_publish_targets-1.string_key,_publish,_project.string_key
,,,item,russimp_zhb_000,,Cavalry Department of the Imperial Corps of Pages,,black and white photograph,ldpd:113826,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,still image,,,,,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,1886,1886,TRUE,,,,,,,,,,,Pazheskīĭ Ego Imperatorskago Velichestva korpus (Russia),http://id.loc.gov/authorities/names/n82277616,naf,corporate,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/1l001.jpg,filename,,asset,russimp_zhb_001,russimp_zhb_000,Cavalry Department of the Imperial Corps of Pages,,,ldpd:508,Original filename: 1l001.tif,7863,https://exhibitions.library.columbia.edu/exhibits/show/pages/history/images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_fvy_000,,"Centennial Dinner Invitation, December 13, 1902",,black and white photograph,ldpd:113945,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,French,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/fre,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,invitations,aat,http://vocab.getty.edu/page/aat/300027083,Invitation to the centennial dinner held at the Winter Palace,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"December 13, 1902",1902-12-13,TRUE,,,,,,,,,,,"Zimniĭ dvoret︠s︡ (Saint Petersburg, Russia)",http://id.worldcat.org/fast/631660,fast,corporate,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/4l002.jpg,filename,,asset,russimp_fvy_001,russimp_fvy_000,"Centennial Dinner Invitation, December 13, 1902",,,ldpd:153,Original filename: 4l002.tif,8262,https://exhibitions.library.columbia.edu/exhibits/show/pages/celebrations/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_yli_000,,"Centennial Dinner Invitation, December 8, 1902",,,,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,invitations,aat,http://vocab.getty.edu/page/aat/300027083,Invitation to the centennial dinner held at the Winter Palace held on 8th December 1902.,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"December 8, 1902",1902-12-08,TRUE,,,,,,,,,,,"Zimniĭ dvoret︠s︡ (Saint Petersburg, Russia)",http://id.worldcat.org/fast/631660,fast,corporate,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/4l001.jpg,filename,,asset,russimp_yli_001,russimp_yli_000,"Centennial Dinner Invitation, December 8, 1902",,,,Original filename: 4l001.tif,7917,https://exhibitions.library.columbia.edu/exhibits/show/pages/celebrations/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_qru_000,,Centennial Seating Diagram,,,ldpd:113979,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,still image,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Gift of Aleksei Mozhaiskii, 1982",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,Seating diagram of the guests attending the celebration,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,1902,1902,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/4b001.jpg,filename,,asset,russimp_qru_001,russimp_qru_000,Centennial Seating Diagram,,,ldpd:233,Original filename: 4b001.tif,7907,https://exhibitions.library.columbia.edu/exhibits/show/pages/celebrations/images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_soz_000,,Centennial Theater Program,,lithograph,ldpd:113977,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,Theater programs,fast,http://id.worldcat.org/fast/1919978,Theater program for a performance during the centennial celebrations,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"December 14, 1902",1902-12-14,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/4o002.jpg,filename,,asset,russimp_soz_001,russimp_soz_000,Unnumbered page,,,ldpd:133,Original filename: 4o002.tif,7921,https://exhibitions.library.columbia.edu/exhibits/show/pages/celebrations/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
