_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,date_created-1:date_created_type,location-1:location_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,abstract-1:abstract_value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,place_of_origin-1:place_of_origin_value,date_created_textual-2:date_created_textual_value,publisher-1:publisher_value,collection-1:collection_term.uri,collection-1:collection_term.value,place_of_origin-2:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,note-6:note_type,note-6:note_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,note-7:note_type,note-3:note_value,note-7:note_value
 , , , ,filename,090069029.jpg, ,"""Naked Lunch"": the First Fifty Years",Louis Cartwright (left) and William S. Burroughs , , , ,1047,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital,,,,,,,,Photograph of William S. Burroughs with the photographer Louis Cartwright (death 1994), , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997|Cartwright, Louis", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069028.jpg, ,"""Naked Lunch"": the First Fifty Years","William S. Burroughs with David Prentice (left), and Stewart Meyer (right)", , , ,1046,1981,original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital,,,,,,,,"Photograph of Burroughs with the painter David Prentice (left), and Stewart Meyer, a member of Burroughs’s circle at the time, probably 1981, the year that Cities of the Red Night (visible in the background) was published.", , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997|Prentice, David|Meyer, Stewart", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069027.jpg, ,"""Naked Lunch"": the First Fifty Years",William S. Burroughs, , , ,1045,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital, ,"Cartwright, Louis", , , , , ,Photograph of William S. Burroughs with a coffee cup., , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069026.jpg, ,"""Naked Lunch"": the First Fifty Years",Herbert Huncke (left) and William S. Burroughs, , , ,1044,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital, ,"Cartwright, Louis", , , , , ,"Photograph of William S. Burroughs with Herbert Huncke (1915-1996), in the Bunker", , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997|Huncke, Herbert", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069025.jpg, ,"""Naked Lunch"": the First Fifty Years",William S. Burroughs, , , ,1043,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital, ,"Cartwright, Louis", , , , , ,Photograph of William S. Burroughs at his kitchen table., , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069024.jpg, ,"""Naked Lunch"": the First Fifty Years",William S. Burroughs, , , ,1042,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital, ,"Cartwright, Louis", , , , , ,Photograph of William S. Burroughs in profile, , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069023.jpg, ,"""Naked Lunch"": the First Fifty Years",William S. Burroughs, , , ,1041,[c.1979-80],original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlphotographs/photos, ,No linguistic content,iso639-2,reformatted digital, ,"Cartwright, Louis", , , , , ,"Photograph of William S. Burroughs with rifle and friends, including Herbert Huncke (far left).", , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997|Huncke, Herbert", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069022.jpg, ,"""Naked Lunch"": the First Fifty Years",William S. Burroughs, , , ,1040,1980,original_format, ,photographs, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/wsb/nlwsb, ,No linguistic content,iso639-2,reformatted digital, ,"Bockris, Victor, 1949-", , , , , ,, , ,,,,,,New York, , , , ,"Burroughs, William S., 1914-1997", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069020.jpg, ,"""Naked Lunch"": the First Fifty Years","Junkie manuscript, Glossary, unnumbered page", , , ,1038,[1952-53],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,,,,,,, ,William Seward Burroughs Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069019.jpg, ,"""Naked Lunch"": the First Fifty Years","Junkie manuscript, page 8", , , ,1037,[1952-53],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,First page of Chapter One of the manuscript,,,,,, ,Allen Ginsberg papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
