_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_non_sort_portion,title-1:title_sort_portion,note-1:note_value,note-1:note_type,note-2:note_value,note-3:note_value,note-3:note_type,object_in_context_url-1--object_in_context_url_value,omeka_identifier-1--omeka_identifier_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.value,collection-1:collection_term.uri,digital_origin-1:digital_origin_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_uri,use_and_reproduction-1:use_and_reproduction_authority,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_type,subject_name-1:subject_name_term.name_value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,_publish_targets-1.string_key,_publish
,asset,churchib_cib_020,churchib_cib_000,,"Scene 20: ships at Malabar, Vasco da Gama 1496",http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_020.jpg,filename,original filename: burke_church_020.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7789,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_021,churchib_cib_000,,"Scene 21: East India House, British East India House 1618",http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_021.jpg,filename,original filename: burke_church_021.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7790,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_022,churchib_cib_000,,Scene 22: station at Canton,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_022.jpg,filename,original filename: burke_church_022.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7791,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_023,churchib_cib_000,,"Scene 23: Fort St. George, Madras, 1640",http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_023.jpg,filename,original filename: burke_church_023.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7792,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_024,churchib_cib_000,,"Scene 24: church, St. Mary's, Madras, 1680",http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_024.jpg,filename,original filename: burke_church_024.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7793,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_025,churchib_cib_000,,Scene 25: interior of church,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_025.jpg,filename,original filename: burke_church_025.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7794,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_026,churchib_cib_000,,Scene 26: plate,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_026.jpg,filename,original filename: burke_church_026.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/christianityindia/sceneschristianityindia2,7795,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_027,churchib_cib_000,,Scene 27: The first Protestant missionaries,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_027.jpg,filename,original filename: burke_church_027.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/firstprotestantmissionaries/scenesprotestantmiss1,7796,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_028,churchib_cib_000,,Scene 28: Danish Fort at Tranquobar,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_028.jpg,filename,original filename: burke_church_028.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/firstprotestantmissionaries/scenesprotestantmiss1,7797,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_029,churchib_cib_000,,"Scene 29: Ziegenbalg, 1706",http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_029.jpg,filename,original filename: burke_church_029.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/firstprotestantmissionaries/scenesprotestantmiss1,7798,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
