item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - DublinCore - Source,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Date,item - DublinCore - Coverage,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Description,item - DublinCore - Publisher,item - AdditionalItemMetadata - Provenance ,item - AdditionalItemMetadata - TemporalCoverage,item - AdditionalItemMetadata - RightsHolder,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PublicationDate,item - MODS - ShelfLocation,item - MODS - PublicationPlace,item - MODS - Collection,item - OmekaCollection,item - ItemType,item - ItemType - text,item - ItemInContext,project URL
1,2980,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 5,Autograph letter to Joseph Pulitzer,Page 5,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066d,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2979,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 4,Autograph letter to Joseph Pulitzer,Page 4,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066c,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2978,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 3,Autograph letter to Joseph Pulitzer,Page 3,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066b,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2977,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 2,Autograph letter to Joseph Pulitzer,Page 2,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2976,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 1,Autograph letter to Joseph Pulitzer,Page 1,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/panama-canal-libel-case,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2975,0,manuscripts,1911-08-04,,,,Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],,,,4-Aug-1911,"On board ""Liberty""","Firestone, Clark B. (Clark Barnaby), 1869-1957","Pulitzer, Joseph, 1847-1911",eng,,,"Gift of Joseph Pulitzer, Jr.",,,original filename: pulitzer_100018065a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 52,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript Report,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2974,0,manuscripts,1911-08-04,,,,Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],,,,4-Aug-1911,"On board ""Liberty""","Firestone, Clark B. (Clark Barnaby), 1869-1957","Pulitzer, Joseph, 1847-1911",eng,,,"Gift of Joseph Pulitzer, Jr.",,,original filename: pulitzer_100018065,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 52,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript Report,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/drum-major,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2973,0,manuscripts,1908,,inferred,,Manuscript memo on editorial view regarding 1908 elections,Manuscript memo on editorial view regarding 1908 elections,,,,[1908],,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1908,,original filename: pulitzer_100018064a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 46,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript memo,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/drum-major,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2972,0,manuscripts,1908,,inferred,,Manuscript memo on editorial view regarding 1908 elections,Manuscript memo on editorial view regarding 1908 elections,,,,[1908],,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1908,,original filename: pulitzer_100018064,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 46,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript memo,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2971,0,caricatures and cartoons,1910-09-04,,,,Tom's Dream,Tom's Dream,,,,"September 4, 1910",New York,"Rogers, W. A. (William Allen), 1854-1931",,eng,,,"Gift of Joseph Pulitzer, Jr.",1910-09-04,,original filename: pulitzer_100018063,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,World Papers Box 33,,World records,Joseph Pulitzer and The World,still image,Original Format: Magazine tearsheets,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/drum-major,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
