identifier_omeka,title,name_primary,abstract,dateCreated,note_filename,typeOfResource,relatedItem_Project
9225,Memorial,"Elizabeth Call, photographer","Memorial put up in ""The Hub"" (AD30), student protest headquarters, in Union Theological Seminary.",2014-12-08,CallE_LoveInAction_LoveHub_12082014_13.jpg,Still Image,Love in Action
9223,"""Ferguson is Everywhere! Justice for Michael Brown and Eric Garner/Police Brutality and Murder MUST STOP!/www.revcom.us""","Elizabeth Call, photographer",Poster from NYC protests,2014-12-08,CallE_LoveInAction_LoveHub_12082014_17.jpg,Still Image,Love in Action
9222,"""I can't Breathe""","Elizabeth Call, photographer",Sign created and used for NYC protests,2014-12-08,CallE_LoveInAction_LoveHub_12082014_12.jpg,Still Image,Love in Action
9221,Millions March,"Betty Bolden, photographer",Union Theological Seminary students and community gathering in front of Union to head down to the Millions March in Washington Square Park.  Union alums Anne R. Elliott and Teresa Delgado pictured.,2014-12-13,Betty photo 3.jpg,Still Image,Love in Action
9220,Millions March,"Betty Bolden, photographer",Union Theological Seminary students and community gathering in front of Union to head down to the Millions March in Washington Square Park.  Candace Simpson is pictured in this image.,2014-12-13,Betty photo 2.jpg,Still Image,Love in Action
9219,Millions March ,"Betty Bolden, photographer",Union Theological Seminary students and community gathering in front of Union to head down to the Millions March in Washington Square Park.,2014-12-13,Betty photo 1.jpg,Still Image,Love in Action
9176,"""Black Lives Matter""","Elizabeth Call, photographer","Protest poster made in ""The Hub,"" students protest headquarters at Union Theological Seminary.",2014-12-08,CallE_LoveInAction_LoveHub_12082014_15.jpg,Still Image,Love in Action
9175,The Hub,"Elizabeth Call, photographer","Image taken of ""The Hub,"" students protest headquarters at Union Theological Seminary.",2014-12-08,CallE_LoveInAction_LoveHub_12082014_3.jpg,Still Image,Love in Action
9174,"""Trust Your Struggle""","Elizabeth Call, photographer",Sign used for NYC protests.,2014-12-08,CallE_LoveInAction_LoveHub_12082014_11.jpg,Still Image,Love in Action
9173,Love Hub sign,"Elizabeth Call, photographer",,2014-12-08,CallE_LoveInAction_LoveHub_12082014_2.jpg,Still Image,Love in Action
9171,UTS @ Moral March,Julio Torres,"Kairos Center and Poverty Initiative ran a class, CS 205, and we went to Raleigh, North Carolina to march with the Moral Movement. This is run by the NAACP and coordinated by Rev. Dr. William Barber. This was a great saturday morning with a few students holding the banner. Some took the class for credits, others just for the experience and to show solidarity and be activists",2015-02-14,20150214_100541.jpg,Still Image,Love in Action
