item - itemId,item - public,item - featured,item - MODS - PublicationPlace 1,item - MODS - PublicationPlace 2,item - MODS - PublicationPlace 3,item - MODS - PublicationPlace 4,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,Item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - PublicationDate,item - MODS - Notes,item - MODS - Collection,item - AdditionalItemMetadata - Provenance,item - MODS - PhysicalDescription,item - MODS - ShelfLocation,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Relation,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Identifier,item - DublinCore - Description,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,project URL,item in context 1,item in context 2
4942,1,0,Cambridge,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1859,,books,1859,,,Gift of Kenneth A. Lohf,,,Macmillan and Co.,,"Scouring of the White Horse; or, The Long Vacation Ramble of a London Clerk. Cover","Scouring of the White Horse; or, The Long Vacation Ramble of a London Clerk",Cover,,"Hughes, Thomas, 1822-1896",,CLIO_245607,,eng,1859,,original filename: GBF156.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_1_8,
4941,1,0,London,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1859,,books,1859,,,,,,Bradbury & Evans,,Little Tour in Ireland. Cover,Little Tour in Ireland,Cover,,"Hole, S. Reynolds (Samuel Reynolds), 1819-1904",,CLIO_6198942,,,1859,,original filename: GBF155.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_1_8,
4939,1,0,Washington,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1856,,books,1856,,Park Benjamin Collection,,,,Casimir Bohn,,Bohn's Hand-Book of Washington. Cover,Bohn's Hand-Book of Washington,Cover,,"Lanman, Charles, 1819-1895",,CLIO_6174597,,eng,1856,,original filename: GBF153.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_1_8,
4940,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1856,,books,1856,,,Bancroft Fund,,,"Ensign, Bridgman & Fanning",,"Ensign, Bridgman & Fanning's Travellers' Guide through the States of Ohio, Michigan, Indiana, Illinois, Missouri, Iowa, and Wisconsin. Cover","Ensign, Bridgman & Fanning's Travellers' Guide through the States of Ohio, Michigan, Indiana, Illinois, Missouri, Iowa, and Wisconsin",Cover,,,,CLIO_6132031,,eng,1856,,original filename: GBF154.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_1_8,
4938,1,0,London,Paris,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1853,,books,1853,,,,,,J. Mitchell,Ernest Bourdin,Summer at Baden-Baden. Cover,Summer at Baden-Baden,Cover,,"Guinot, Eugène, 1812-1861",,CLIO_6204223,,,1853,,original filename: GBF152.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/introduction,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_1_8
4937,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1881,,books,1881,,,Gift of Morris H. Saffron,,,"Fords, Howard, & Hulbert",,"Flirtation Camp: Or, The Rifle, Rod, and Gun in California: a Sporting Romance. Cover","Flirtation Camp: Or, The Rifle, Rod, and Gun in California: a Sporting Romance",Cover,,"Van Dyke, Theodore S. (Theodore Strong), 1842-1923",,CLIO_2768962,,,1881,,original filename: GBF151.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/wild_west/items_1_9,
4936,1,0,St. Louis,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1881,,books,1881,,,Bancroft Fund,,,Historical Publishing Co.,,"Border Outlaws: An Authentic and Thrilling History of the Most Noted Bandits of Ancient or Modern Times, the Younger Brothers, Jesse and Frank James, and Their Comrades in Crime ; Compiled from Reliable Sources Only and Containing the Latest Facts in Regard to These Celebrated Outlaws. Cover","Border Outlaws: An Authentic and Thrilling History of the Most Noted Bandits of Ancient or Modern Times, the Younger Brothers, Jesse and Frank James, and Their Comrades in Crime ; Compiled from Reliable Sources Only and Containing the Latest Facts in Regard to These Celebrated Outlaws",Cover,,"Buel, James W. (James William), 1849-1920",,CLIO_1949930,,eng,1881,,original filename: GBF150.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/wild_west/items_1_9,
4935,1,0,Hartford,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1879,,books,1879,,,,,,Frank E. Bliss,,"Life of Hon William F. Cody Known as Buffalo Bill, the Famous Hunter, Scout and Guide. Cover","Life of Hon William F. Cody Known as Buffalo Bill, the Famous Hunter, Scout and Guide",Cover,,"Buffalo Bill, 1846-1917",,CLIO_6133002,,eng,1879,,original filename: GBF149.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/wild_west/items_1_9,
4934,1,0,Boston,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1869,,books,1869,,,,,,"Fields, Osgood, & Co.",,"Adventures in the Wilderness; or, Camp-Life in the Adirondacks. Cover","Adventures in the Wilderness; or, Camp-Life in the Adirondacks",Cover,,"Murray, W. H. H. (William Henry Harrison), 1840-1904",,CLIO_1410764,,,1869,,original filename: GBF148.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/wild_west/items_1_9,
4933,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1866,,books,1866,Stamp cut by John Feely,,,,,James Miller,,"Boys' Book of Indian Battles and Adventures, with Anecdotes About Them. Cover","Boys' Book of Indian Battles and Adventures, with Anecdotes About Them",Cover,,"Blake, John Lauris, 1788-1857","Feely, John",CLIO_6151206,,eng,1866,,original filename: GBF147.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/wild_west/items_1_9,
