item - public,item - itemId,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - Notes,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PublicationPlace,item - MODS - PlaceofOrigin,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Publisher,item - DublinCore - Description,item - DublinCore - Source,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,item - ItemInContext,item - AdditionalItemMetadata - RightsHolder,project URL
1,6846,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1910,1953,photographs,,"Box 31, Folder 2 Music Department",Office of Public Affairs Photograph Collection,,,,Daniel Gregory Mason,Daniel Gregory Mason,,,,,,,1910-1953,,,,,,"Mason, Daniel Gregory, 1873-1953",,,,original filename: D. G. Mason.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/mason,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6845,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1893,1969,photographs,,"Box 86, Moore, Douglas",Historical Photograph collection,,,,Douglas Moore,Douglas Moore,,,,,,eng,No date,,,,,,"Moore, Douglas, 1893-1969",,,,original filename: Douglas Moore younger.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6844,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1926,1962,photographs,,"Box 86, Moore, Douglas",Historical Photograph collection,,New York,,Douglas Moore at Desk,Douglas Moore at Desk,,,,,,,between 1926 and 1962?,,,,,,"Moore, Douglas, 1893-1969",,,,original filename: Douglas Moore with window.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/chairpersons/chairpersons,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6843,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1902,,photographs,,,Edward A. MacDowell Papers,,,,Edward MacDowell,Edward MacDowell,,,,,,eng,1902,,,,Autographed photograph,,"MacDowell, Edward, 1860-1908",,,,original filename: MacDowell_crop.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/beginnings/edward-macdowell,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6842,approximate,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1923,,photographs,,"Box 101, Rodgers, Richard",Historical Photograph collection,,,,Richard Rogers (Columbia College 1923),Richard Rogers (Columbia College 1923),,,,,,,circa 1923,,,,,,,,,,original filename: Richard Rogers younger1.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance--the-early-y/hammerstein--hart--and-rogers,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6841,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1967,,printed ephemera,,"Box 22, folder 16, Bartok, Bela",Historical biographical files,Hague,,,Prospectus for Rumanian Folk Music,Prospectus for Rumanian Folk Music,,,,,,eng,circa 1967,,,Martinus Nijhoff,,,"Bartók, Béla, 1881-1945. Romanian folk music",,,,original filename: Bartok Rumanian Music Flyer.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ethnomusicology/bela-bartok,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6840,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1940,,photographs,,"Bartok, Bela",Historical Photograph collection,,,,Bela Bartok,Bela Bartok,,,,,,eng,1940,,,,,,"Bartók, Béla, 1881-1945",,,,original filename: Bartok Ditson Award.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/bela-bartok,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6839,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1958,,photographs,,"Box 15, Folder 13, Ditson Awards",Office of Public Affairs Photograph Collection,,,,Leonard Bernstein Receiving Ditson Conducting Award,Leonard Bernstein Receiving Ditson Conducting Award,,,,,,eng,1958,,,,,,"Bernstein, Leonard, 1918-1990","Bernstein, Felicia","Moore, Douglas, 1893-1969",,"original filename: Bernstein, Moore, Ditson Award.jpg",still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/conductors-award,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6838,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1948-05,,photographs,,"Box 15, Folder 13, Ditson Awards",Office of Public Affairs Photograph Collection,,,,Dean Dixon conducts CBS Symphony Orchestra,Dean Dixon conducts CBS Symphony Orchestra,,,,,,eng,"May, 1948",,,,,,"Dixon, Dean, 1915-1976",CBS Symphony Orchestra,,,original filename: Dean Dixon CBS Symphony.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/conductors-award,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6837,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1890,1910,photographs,,,Ditson Fund Papers,,,,Alice M. Ditson,Alice M. Ditson,,,,,,eng,No date,,,,Photographer unknown.,,"Ditson, Alice M.",,,,original filename: Alice M. Ditson 001.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/alice-m-ditson,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6836,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1997,,photographs,,,,,,,"Turner Console, Aeolian-Skinner Organ, St. Paul's Chapel","Turner Console, Aeolian-Skinner Organ, St. Paul's Chapel",,,,,,,1997,"Barroso, Eileen",,,,,Organ (Musical instrument),,,,original filename: ColUChapelTurnerCon1.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/chapel-music,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6490,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1891,1895,music,,,Edward A. MacDowell Papers,,,,"Second Suite for Orchestra, Opus 48, the Indian Suite","Second Suite for Orchestra, Opus 48, the Indian Suite",,,,,,eng,between 1891 and 1895,"MacDowell, Edward, 1860-1908",,,,,,,,,original filename: 121.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/beginnings/indian-suite,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6489,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1904,,objects,,,Edward A. MacDowell Papers,,,,Silver presentation cup,Silver presentation cup,,,,,,eng,circa 1904,Tiffany and Company,,,"Names list, end of alphabet",,,,,,original filename: 110118174.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/online-catalog/mm-introduction,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6488,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1904,,objects,,,,,,,Silver presentation cup,Silver presentation cup,,,,,,eng,circa 1904,Tiffany and Company,,,"Names list, beginning of alphabet",,,,,,original filename: 110118173.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/online-catalog/mm-introduction,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6487,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1904,,objects,,,Edward A. MacDowell Papers,,,,Silver presentation cup,Silver presentation cup,,,,,,eng,circa 1904,Tiffany and Company,,,Dedication,,,,,,original filename: 110118172.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/online-catalog/mm-introduction,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6486,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1994-12-09,,photographs,,"Negatives, Box 100, St. Pauls's Chapel - Candlelight Concert Christmas 1994, negative 31",Office of Public Affairs Photograph Collection,,,,"Barnard-Columbia Chorus, St. Paul’s Chapel","Barnard-Columbia Chorus, St. Paul’s Chapel",,,,,,eng,9-Dec-1994,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118171.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/chapel-music,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6485,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1994-12-09,,photographs,,"Negatives, Box 100, St. Paul's Chapel - Candlelight Concert Christmas 1994, negative 30",Office of Public Affairs Photograph Collection,,,,Barnard-Columbia Chorus - Annual Candlelight Concert. Negative 30,Barnard-Columbia Chorus - Annual Candlelight Concert,Negative 30,,,,,eng,9-Dec-1994,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118170.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6484,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-04-15,,photographs,,"Negatives Box 98, Miller Theater - Columbia Orchestra, negative 36",Office of Public Affairs Photograph Collection,,,,Columbia University Orchestra - Conductor George Rothman. Negative 36,Columbia University Orchestra - Conductor George Rothman,Negative 36,,,,,eng,15-Apr-1996,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118169.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6483,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-04-15,,photographs,,"Negatives, Box 98, Miller Theater - Columbia Orchestra, negative 29",Office of Public Affairs Photograph Collection,,,,Columbia University Orchestra - Conductor George Rothman. Negative 29,Columbia University Orchestra - Conductor George Rothman,Negative 29,,,,,eng,15-Apr-1996,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118168.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6482,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-04-15,,photographs,,"Negatives, Box 98, Miller Theater - Columbia Orchestra, negative 27",Office of Public Affairs Photograph Collection,,,,Columbia University Orchestra - Conductor George Rothman. Negative 27,Columbia University Orchestra - Conductor George Rothman,Negative 27,,,,,,15-Apr-1996,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118167.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6481,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-04-15,,photographs,,"Negatives, Box 98, Miller Theater - Columbia Orchestra, negative 26",Office of Public Affairs Photograph Collection,,,,Columbia University Orchestra - Conductor George Rothman. Negative 26,Columbia University Orchestra - Conductor George Rothman,Negative 26,,,,,eng,15-Apr-1996,"Pineiro, Joe",,,,Office of Public Affairs,,,,,original filename: 110118166.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6480,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1934,,printed ephemera,,CN M9535,,New York (N.Y.),,,Home Study Course in Harmony. Cover,Home Study Course in Harmony,Cover,,,,,eng,1934,"Murphy, Howard Ansley, 1896-1962",Columbia University. Home Study Department,Columbia University Press,First Course Exercises,,,,,,original filename: 110118165.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/music-as-a-college-study,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6479,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1902,,printed ephemera,,"Box 210, folder 14",Historical biographical files,New York (N.Y.),,,From Grieg to Brahms. Page 4,From Grieg to Brahms,Page 4,,,,,eng,1902,Outlook Company,,Outlook Company,"Advertising brochure for Gregory Daniel Mason's work ""From Grieg to Brahms"".",,"Mason, Daniel Gregory, 1873-1953",,,,original filename: 110118164.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/daniel-gregory-mason,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6478,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1902,,printed ephemera,,"Box 210, folder 14",Historical biographical files,New York (N.Y.),,,From Grieg to Brahms. Page 3,From Grieg to Brahms,Page 3,,,,,eng,circa 1902,Outlook Company,,Outlook Company,"Advertising brochure for Gregory Daniel Mason's work ""From Grieg to Brahms"".",,"Mason, Daniel Gregory, 1873-1953",,,,original filename: 110118163.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/daniel-gregory-mason,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
