_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,note-1:note_value,note-1:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,place_of_origin-1:place_of_origin_value,place_authority_identifier,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion
item,butlerseventyfive_bus,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,"Beals, A. Tennyson",personal,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n97840259,,,,,,,,1933,1934,approximate,circa 1933-1934,"View of one of the light fixtures on the outside of Butler Library, ca. 1933-34.",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Butler Library Exterior Lamp
asset,butlerseventyfive_bus_000,butlerseventyfive_bus,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_585,,,,,,,,,,,,B75_1064,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Butler Library Exterior Lamp
item,butlerseventyfive_ccj,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,"A student working with some of the rare publications dealing with the Russian Revolutionary Movement, purchased by Columbia University from funds granted by the Rockefeller Foundation.",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 138,"Folder 11(Administration - Provost - Libraries, Butler, Rare Book and Manuscript)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Consulting Rare Publications
asset,butlerseventyfive_ccj_000,butlerseventyfive_ccj,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_656,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-3,,,,,,,,,,B75_1135,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Consulting Rare Publications
item,butlerseventyfive_cfa,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,"Bubley, Esther",personal,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n82047436,,,,,,,,1934,2009,inferred,between 1934 and 2009,Two scholars (one of whom is Professor John Day) looking at papyrus with magnifying glass in the Rare Book and Manuscript Library.,,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 138,"Folder 11 (Administration - Provost - Libraries, Butler, Rare book and Manuscript)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Manuscripts (Papyri),fast,http://id.worldcat.org/fast/1008260,Scholars,fast,http://id.worldcat.org/fast/1106878,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Examining Papyrus
asset,butlerseventyfive_cfa_000,butlerseventyfive_cfa,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_654,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,,,,,,,,,,B75_1133,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Examining Papyrus
item,butlerseventyfive_cfi,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,Staircase in the South Hall (Butler Library) stacks. ,,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Stack Stairs
asset,butlerseventyfive_cfi_000,butlerseventyfive_cfi,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_611,,,,,,,,,,,,B75_1090,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Stairs
item,butlerseventyfive_cho,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,"Beals, A. Tennyson",personal,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n97840259,,,,,,,,1932-06-06,,,"June 6, 1932","Butler Library construction, 6 June 1932.",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932)",,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Butler Library Construction 2
asset,butlerseventyfive_cho_000,butlerseventyfive_cho,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_550,,,,,,,,,,,,B75_1029,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Butler Library Construction 2
