relatedItem_collection,name_primary,name_primary_type,name_primary_Relator,name_primary_authority,name_primary_authority_identifier,name 2,name_type_2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,name_type 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,name_type 4,nameRelator 4,name_authority 4,name_authority-identifier 4,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note 1,note_holdings,note_filename 1,note_filename 2,digitalOrigin,extent,form,form_authority,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project_nonSort,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,relatedItem_note,accessCondition,subject_topic 1,subject_topic_authority 1,subject_topic_authority_identifier 1,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,title,title_nonSort,identifier_title,partName,title2,title2_type,item - public,item - featured
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1940),conference,,,,Columbia University Players,corporate,,,,,,,,,1940,,,1940,"Title page inside Varsity Show program for ""Life Begins In 40"" (1940)",,omeka_4196,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 12",,,UA#0106,varsity_100129015,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, April 1940",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Life Begins In '40,,varsityshow_lbe_001,Title page,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1940),conference,,,,Columbia University Players,corporate,,,,,,,,,1940,,,1940,"Title page inside Varsity Show program for ""Life Begins In 40"" (1940)",,omeka_4196,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 12",,,UA#0106,varsity_100129015,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, April 1940",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Life Begins In '40,,varsityshow_lbe,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1911),conference,,,,,,,,,,,,,,1911,,,1911,"Original poster for 1911 Varsity Show ""Made in India""",,omeka_4215,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 4",,,Flat Files UA#0106,varsity_100129034,,reformatted digital,"14"" x 11""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Elephants,fast,http://id.worldcat.org/fast/908011,,,,,,,Made in India,,varsityshow_mia_000,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1911),conference,,,,,,,,,,,,,,1911,,,1911,"Original poster for 1911 Varsity Show ""Made in India""",,omeka_4215,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 4",,,Flat Files UA#0106,varsity_100129034,,reformatted digital,"14"" x 11""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Elephants,fast,http://id.worldcat.org/fast/908011,,,,,,,Made in India,,varsityshow_mia,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (2006),conference,,,,,,,,,,,,,,2006-04,,,Apr-06,"Program cover for Varsity Show ""Misery Loves Columbia""",,omeka_4205,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 17, folder 12",,,UA#0106,varsity_100129024,,reformatted digital,"7"" x 10""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Blue and White, the undergraduate magazine of Columbia University, April 2006.",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Misery Loves Columbia,,varsityshow_mlc_001,Cover,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (2006),conference,,,,,,,,,,,,,,2006-04,,,Apr-06,"Program cover for Varsity Show ""Misery Loves Columbia""",,omeka_4205,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 17, folder 12",,,UA#0106,varsity_100129024,,reformatted digital,"7"" x 10""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Blue and White, the undergraduate magazine of Columbia University, April 2006.",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Misery Loves Columbia,,varsityshow_mlc,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1912),conference,,,,,,,,,,,,,,1912,,,1912,"Original poster for 1912 Varsity Show ""The Mysterious Miss Apache""",,omeka_4216,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 4",,,Flat Files UA#0106,varsity_100129035,,reformatted digital,"22"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Mysterious Miss Apache,The,varsityshow_mma_000,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1912),conference,,,,,,,,,,,,,,1912,,,1912,"Original poster for 1912 Varsity Show ""The Mysterious Miss Apache""",,omeka_4216,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 4",,,Flat Files UA#0106,varsity_100129035,,reformatted digital,"22"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Mysterious Miss Apache,The,varsityshow_mma,,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1929),conference,,,,Columbia University Players,corporate,,,,,,,,,,,,,,1929,,,1929,"Program cover for Varsity Show ""Oh, Hector!"" (1929)",,omeka_4193,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 11, folder 1",,,UA#0106,varsity_100129012,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Hector (Legendary character),fast,http://id.worldcat.org/fast/954430,,,,,,,Oh Hector!,,varsityshow_ohh_001,Cover,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1929),conference,,,,Columbia University Players,corporate,,,,,,,,,,,,,,1929,,,1929,"Program cover for Varsity Show ""Oh, Hector!"" (1929)",,omeka_4193,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 11, folder 1",,,UA#0106,varsity_100129012,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Hector (Legendary character),fast,http://id.worldcat.org/fast/954430,,,,,,,Oh Hector!,,varsityshow_ohh,,,,1,0
