_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1.name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.authority,name-3:name_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,location-1:location_term.value,location-1:location_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,digital_origin-1:digital_origin_value,place_of_origin-1:place_of_origin_value,omeka_identifier-1:omeka_identifier_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,collection-1:collection_term.value,collection-1:collection_term.uri,object_in_context_url-1:object_in_context_url_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,type_of_resource-1:type_of_resource_value,_project.string_key
item,rbml_omeka_memory_0006,,,,,,Theatrum vitæ humanæ,"Zwinger, Theodor, 1533-1588",personal,naf,"http://id.loc.gov/authorities/names/n84805548
",Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,"Lykosthenes, Konrad, 1518-1561",personal,naf,http://id.loc.gov/authorities/names/n88050457,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,1571,1571,TRUE,reformatted digital,Parisiis,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,6614209,B037 Z98,,,,Encyclopedias and dictionaries,fast,http://id.worldcat.org/fast/909533,"Encyclopedias and dictionaries, Latin",fast,http://id.worldcat.org/fast/909593,,,,text,
asset,rbml_omeka_memory_0006_001,rbml_omeka_memory_0006,Original filename:omeka_memory_0006,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0006.jpg, ,Title page ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12022,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum,,,,,,,,,,,
asset,rbml_omeka_memory_0006_031,rbml_omeka_memory_0006,Original filename:omeka_memory_0007_001,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_001.jpg, ,Cols. 31-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12023,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum,,,,,,,,,,,
asset,rbml_omeka_memory_0006_033,rbml_omeka_memory_0006,Original filename:omeka_memory_0007_002,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_002.jpg, ,Cols. 33-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12024,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum,,,,,,,,,,,
asset,rbml_omeka_memory_0006_035,rbml_omeka_memory_0006,Original filename:omeka_memory_0007_003,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_003.jpg, ,Cols. 35-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12025,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum,,,,,,,,,,,
asset,rbml_omeka_memory_0006_037,rbml_omeka_memory_0006,Original filename:omeka_memory_0007_004,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_004.jpg, ,Cols. 37-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12026,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum,,,,,,,,,,,
item,rbml_omeka_memory_0005,,,,,,"Rationarium euangelistarum omnia in se euangelia prosa, uersu, imaginibusq[ue] qua mirifice coplectens","Petrus, von Rosenheim, approximately 1380-1433",personal,naf,http://id.loc.gov/authorities/names/n82234489,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,"Anshelm, Thomas",personal,naf,http://id.loc.gov/authorities/names/n83067087,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/prt,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,1505,1505,TRUE,reformatted digital,Germany,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,1793416,PLIMPTON 154.1 1510 P44,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,Mnemonics,fast,http://id.worldcat.org/fast/1024177,,,,Bible. Gospels,fast,http://id.worldcat.org/fast/1808065,text,
asset,rbml_omeka_memory_0005_001,rbml_omeka_memory_0005,Original filename:omeka_memory_0005,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0005.jpg, ,f. a iiij recto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12021,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/vonrosenheim,,,,,,,,,,,
item,rbml_omeka_memory_0003,,,,,,Congestorium artificiose memorie ... ,"Romberch, Johann Horst von, active 1505-1532",personal,naf,http://id.loc.gov/authorities/names/n88038830,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,1533,1533,TRUE,reformatted digital,Venetijs,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,5516209,B153.2 H79,,,,Mnemonics,fast,http://id.worldcat.org/fast/1024177,,,,,,,text,
asset,rbml_omeka_memory_0003_001,rbml_omeka_memory_0003,Original filename:omeka_memory_0003,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0003.jpg, ,Title page ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12018,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,,,,,,,,,,,,
