item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - FormGenre - Authority,item - MODS - ShelfLocation,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - RepositoryName - code - Authority,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - Collection 1,item - MODS - Collection 2,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - PlaceofOrigin 3,item - MODS - PlaceofOrigin 3 - Authority - Identifier,item - MODS - PlaceofOrigin 4,item - MODS - PlaceofOrigin 4 - Authority - Identifier,item - MODS - LanguageofCataloging,item - MODS - Subrepository,item - DublinCore - Title - Display,item - DublinCore - Title - Work,item - DublinCore - Title - Work - Identifier,item - DublinCore - Title - Part,item - DublinCore - Title 2 - Display,item - DublinCore - Title 2 - Work,item - DublinCore - Title 2 - Attribute,item - DublinCore - Date,item - DublinCore - Identifier,item - DublinCore - Creator,item - DublinCore - Creator - Authority,item - DublinCore - Creatore - Authority - Identifier,item - DublinCore - Language,item - OriginalFileLoadedIntoOmeka,item - OmekaCollection - nonSort,item - OmekaCollection,item - ItemType,project URL,item - itemInContext 1,item - itemInContext 2
,,,manuscripts,lcsh,X893 N19,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1400,1499,approximate,X Manuscripts,Hebrew Manuscripts,Yemen,,Yemen (Republic),http://id.loc.gov/authorities/names/n81053408,,,eng,,Bustan al-uḳul,Bustan al-uḳul,bau,,בסתאן אלעקול,בסתאן אלעקול,alternative,15th century,CLIO_7228521,"Nathanael ibn al Fayyumi, 12th cent",,,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007224,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,,,,,eng,,Ḥazon naḥu: Berakhot-Kilayim. Title leaf,Ḥazon naḥu: Berakhot-Kilayim,hnb_000,Title leaf,חזון נחום  ברכות - כלאים,חזון נחום  ברכות - כלאים,alternative,17th century,,"Nahum, Eliezer, approximately 1653-1746",naf,http://id.loc.gov/authorities/names/nr94020392,heb,original filename: 120017070.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 N14,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,,,,,eng,,Ḥazon naḥu: Berakhot-Kilayim,Ḥazon naḥu: Berakhot-Kilayim,hnb,,חזון נחום  ברכות - כלאים,חזון נחום  ברכות - כלאים,alternative,17th century,CLIO_7228520,"Nahum, Eliezer, approximately 1653-1746",naf,http://id.loc.gov/authorities/names/nr94020392,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007223,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1700,1799,approximate,X Manuscripts,Hebrew Manuscripts,Morocco?,,Morocco,http://id.loc.gov/authorities/names/n79069715,,,eng,,Reshimat shemot anashim ṿe-nashim: le-giṭin u-sheṭarot. Leaf 7,Reshimat shemot anashim ṿe-nashim: le-giṭin u-sheṭarot,rsa_007,Leaf 7,רשימת שמות אנשים ונשים   לגיטין ושטרות,רשימת שמות אנשים ונשים   לגיטין ושטרות,alternative,18th century,,,,,heb,original filename: 120017067.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 M6845,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1700,1799,approximate,X Manuscripts,Hebrew Manuscripts,Morocco?,,Morocco,http://id.loc.gov/authorities/names/n79069715,,,eng,,Reshimat shemot anashim ṿe-nashim: le-giṭin u-sheṭarot,Reshimat shemot anashim ṿe-nashim: le-giṭin u-sheṭarot,rsa,,רשימת שמות אנשים ונשים   לגיטין ושטרות,רשימת שמות אנשים ונשים   לגיטין ושטרות,alternative,18th century,CLIO_8306271,,,,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007222,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Igrot. Leaf 51 verso,Igrot,igr_051,Leaf 51 verso,אגרות,אגרות,alternative,16th century,,,,,heb,original filename: 120017064.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 M582,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Igrot,Igrot,igr,,אגרות,אגרות,alternative,16th century,CLIO_7218980,,,,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007221,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1300,1399,approximate,X Manuscripts,Hebrew Manuscripts,Yemen,,Yemen (Republic),http://id.loc.gov/authorities/names/n81053408,,,eng,,Perush ha-Mishnah la-Rambam be-ʻaravit. Leaf 18 recto,Perush ha-Mishnah la-Rambam be-ʻaravit,phm_018,Leaf 18 recto,"פרוש המשנה לרמב""ם בערבית   שבת, ערובין, פסחים, שקלים וביצה","פרוש המשנה לרמב""ם בערבית   שבת, ערובין, פסחים, שקלים וביצה",alternative,14th century,,"Maimonides, Moses, 1135-1204",naf,http://id.loc.gov/authorities/names/n78096039,heb,original filename: X893_M28_018a.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 M28,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1300,1399,approximate,X Manuscripts,Hebrew Manuscripts,Yemen,,Yemen (Republic),http://id.loc.gov/authorities/names/n81053408,,,eng,,Perush ha-Mishnah la-Rambam be-ʻaravit,Perush ha-Mishnah la-Rambam be-ʻaravit,phm,,"פרוש המשנה לרמב""ם בערבית   שבת, ערובין, פסחים, שקלים וביצה","פרוש המשנה לרמב""ם בערבית   שבת, ערובין, פסחים, שקלים וביצה",alternative,14th century,CLIO_7218947,"Maimonides, Moses, 1135-1204",naf,http://id.loc.gov/authorities/names/n78096039,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007220,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,,,,,eng,,Maʻaʹse Yehudit. First leaf of text,Maʻaʹse Yehudit,mye_001,First leaf of text,מעשה יהודית,מעשה יהודית,alternative,17th century,,,,,heb,original filename: 120017114.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
